reference,applied,address,permit_type,subtype,status,bedroom_limit,guest_limit,city_record
7P86Z1,2026-09-18,1028 Kerlerec St Apt 2,Short Term Rental Commercial Owner,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=7P86Z1
5LC5MU,2026-09-18,5208 Burgundy St,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=5LC5MU
GYEBKZ,2026-09-18,604 Jena St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=GYEBKZ
611PL1,2026-09-18,7830 Dominican St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=611PL1
RFHCH7,2026-09-18,412 S Telemachus St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=RFHCH7
4GFWMW,2026-09-18,1900 Evergreen Ave,Non-Commercial Short Term Rental,N/A,Pending,6,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=4GFWMW
BW2FEM,2026-09-18,3005 Danneel St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=BW2FEM
KAAQZ8,2026-09-18,317 S Rocheblave St,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=KAAQZ8
4Q18R5,2026-09-18,3517 Chartres St,Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=4Q18R5
F3ES8Y,2026-09-18,4223 Prytania St,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=F3ES8Y
Z87HXW,2026-09-18,2255 N Prieur St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=Z87HXW
PC4T4Y,2026-09-17,2701 N Rocheblave St,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=PC4T4Y
YXVJL6,2026-09-17,1507 Jefferson Ave,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=YXVJL6
QHLVV1,2026-09-17,4702 Pitt St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=QHLVV1
5YA5YG,2026-09-17,626 N Pierce St,Short Term Rental Commercial Owner,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=5YA5YG
1A6L48,2026-09-17,2126 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=1A6L48
3CTABX,2026-09-17,1401 Governor Nicholls St,Short Term Rental Commercial Owner,N/A,Pending,4,8,https://onestopapp.nola.gov/Redirect.aspx?SearchString=3CTABX
1FXRJW,2026-09-17,1347 Franklin Ave,Short Term Rental Commercial Owner,N/A,Pending,4,8,https://onestopapp.nola.gov/Redirect.aspx?SearchString=1FXRJW
W7U7SA,2026-09-17,721 Jackson Ave,Short Term Rental Commercial Owner,N/A,Pending,4,8,https://onestopapp.nola.gov/Redirect.aspx?SearchString=W7U7SA
CY8842,2026-09-17,1345 Franklin Ave,Short Term Rental Commercial Owner,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=CY8842
RGC46M,2026-09-17,1012 Elysian Fields Ave Apt 3,Short Term Rental Commercial Owner,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=RGC46M
BCQLSF,2026-09-17,1012 Elysian Fields Ave Apt 1,Short Term Rental Commercial Owner,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=BCQLSF
STPMJQ,2026-09-17,2923 Grand-Route Saint John St,Non-Commercial Short Term Rental,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=STPMJQ
SRDLFM,2026-09-17,828 Second St,Non-Commercial Short Term Rental,N/A,Pending,2,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=SRDLFM
1V7WH1,2026-09-17,123 N Alexander St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=1V7WH1
JP1P3F,2026-09-17,3616 Magazine St Apt 201,Short Term Rental Commercial Owner,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=JP1P3F
FGB21H,2026-09-17,3624 Magazine St Apt 201,Short Term Rental Commercial Owner,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=FGB21H
PMJYCX,2026-09-17,201 N Broad St,Short Term Rental Commercial Owner,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=PMJYCX
ABCD61,2026-09-17,7111 Walmsley Ave,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=ABCD61
82VYYS,2026-09-17,3616 Magazine St Apt 101,Short Term Rental Commercial Owner,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=82VYYS
4BRF7S,2026-09-17,3624 Magazine St Apt 202,Short Term Rental Commercial Owner,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=4BRF7S
1FS4LY,2026-09-17,805 Constantinople St,Non-Commercial Short Term Rental,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=1FS4LY
5HY58X,2026-09-17,933 Louisa St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=5HY58X
AUEBDM,2026-09-17,1226 Monroe St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=AUEBDM
15VHYB,2026-09-17,3226 Jackson Ave,Non-Commercial Short Term Rental,N/A,Pending,3,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=15VHYB
NQK18T,2026-09-17,1724 Thalia St,Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=NQK18T
2UNQV1,2026-09-17,1616 Independence St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=2UNQV1
SHL415,2026-09-17,8317 Jeannette St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=SHL415
4DQZ76,2026-09-17,1417 Terpsichore St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=4DQZ76
W5LRBZ,2026-09-17,2319 Baronne St,Non-Commercial Short Term Rental,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=W5LRBZ
PC1AYF,2026-09-17,3003 Chartres St,Short Term Rental Commercial Owner,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=PC1AYF
NMRQGJ,2026-09-17,932 Solomon Pl,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=NMRQGJ
LDF13N,2026-09-17,4623 Dryades St,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=LDF13N
VQ1WEG,2026-09-17,2129 Fourth St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=VQ1WEG
M1C6YY,2026-09-16,5537 Hurst St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=M1C6YY
MJJDFF,2026-09-16,4220 Orleans Ave,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=MJJDFF
UXK3YF,2026-09-16,"1724 Martin Luther King, Jr Blvd",Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=UXK3YF
YNEXGQ,2026-09-16,900 Bartholomew St Unit 510,Short Term Rental Commercial Owner,N/A,Pending,,,https://onestopapp.nola.gov/Redirect.aspx?SearchString=YNEXGQ
5V474P,2026-09-16,3677 Timber Ct,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=5V474P
S14B3V,2026-09-16,5114 Laurel St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=S14B3V
DDY4Y1,2026-09-16,8137 Pritchard Pl,Non-Commercial Short Term Rental,N/A,Duplicate,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=DDY4Y1
Z7S8S1,2026-09-16,1041 Sumner St,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=Z7S8S1
12D6J1,2026-09-16,4931 S Claiborne Ave,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=12D6J1
37VJKJ,2026-09-16,1931 Louisiana Ave,Non-Commercial Short Term Rental,N/A,Pending,3,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=37VJKJ
Y4NYWH,2026-09-16,2813 N Rampart St,Non-Commercial Short Term Rental,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=Y4NYWH
6USWF5,2026-09-16,4800 Nottingham Dr,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=6USWF5
2GZ173,2026-09-16,1120 Austerlitz St,Non-Commercial Short Term Rental,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=2GZ173
E1HH3Z,2026-09-16,312 Cherokee St,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=E1HH3Z
DWVF24,2026-09-16,2520 De Soto St,Short Term Rental Commercial Owner,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=DWVF24
SDFGF1,2026-09-16,4231 General Pershing St Apt A,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=SDFGF1
J1W5AW,2026-09-16,"1525 Robert C Blakes, SR Dr C",Short Term Rental Commercial Owner,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=J1W5AW
3YYRXM,2026-09-15,2759 Conti St,Short Term Rental Commercial Owner,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=3YYRXM
ZENBEX,2026-09-15,628 Baronne St Apt 401,Short Term Rental Commercial Owner,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=ZENBEX
CPFGWK,2026-09-14,1922 Burgundy St,Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=CPFGWK
H7FYUF,2026-09-14,25514 Chef Menteur Hwy,Short Term Rental Commercial Owner,N/A,Pending,,,https://onestopapp.nola.gov/Redirect.aspx?SearchString=H7FYUF
HLC15P,2026-09-14,1401 Carondelet St,Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=HLC15P
