camis,restaurant,cuisine,building,street,borough,zip,phone,inspected,inspection_type,action
50184232,FELICE,Italian,220,5 AVENUE,Manhattan,10001,2124709160,2026-09-15,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50184934,GELATOVILLE HK LLC,Bakery Products/Desserts,692,9 AVENUE,Manhattan,10036,6469547576,2026-09-15,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50187148,TACOS 609,Spanish,609,NEW YORK AVENUE,Brooklyn,11203,2063275771,2026-09-15,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50191917,SABORE DE MI TIERRA,Spanish,276,KNICKERBOCKER AVENUE,Brooklyn,11237,9174388263,2026-09-15,Pre-permit (Non-operational) / Initial Inspection,Violations were cited in the following area(s).
50159261,FROZEN LOVE,Other,122,LA SALLE STREET,Manhattan,10027,9173256400,2026-09-14,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50165056,CHILL TAVERN BBQ,Barbecue,137-38,NORTHERN BOULEVARD,Queens,11354,3322666066,2026-09-14,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50166255,CREAM N' DIP,Frozen Desserts,36-18,BROADWAY,Queens,11106,6467509421,2026-09-14,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50167082,MAZAJI,Middle Eastern,7323,3 AVENUE,Brooklyn,11209,3474920114,2026-09-14,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50168829,Z-GRILL SALAD PIZZA,American,803,8 AVENUE,Manhattan,10019,2123151659,2026-09-14,Pre-permit (Operational) / Reopening Inspection,Establishment re-opened by DOHMH.
50169347,LET'S BOUNCE (KEKI MODERN CAKES),Bakery Products/Desserts,79,MOTT STREET,Manhattan,10013,9296268623,2026-09-14,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50179015,PAISA PICAPOLLO,Latin American,501,WEST 167 STREET,Manhattan,10032,7187175655,2026-09-14,Pre-permit (Operational) / Compliance Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.
50179648,BROOKLYN BAKLAVA,Bakery Products/Desserts,7214,5 AVENUE,Brooklyn,11209,7184914141,2026-09-14,Pre-permit (Operational) / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.
50180731,NAMUDOL,Korean,48-18,NORTHERN BOULEVARD,Queens,11101,7184891145,2026-09-14,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50181136,MALAVITA,Italian,614,MANHATTAN AVENUE,Brooklyn,11222,6464775895,2026-09-14,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50181440,CLAYPOT KING,Chinese,36-45,PRINCE STREET,Queens,11354,7186979925,2026-09-14,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50181505,MUGHLAI INDIAN CUISINE,Indian,1724,2 AVENUE,Manhattan,10128,9172173788,2026-09-14,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50182564,CONTRASTO,Coffee/Tea,82,DOBBIN STREET,Brooklyn,11222,6462463525,2026-09-14,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50182979,GOLDEN CORNER,Chinese,45-55,VAN DAM ST,Queens,11101,3478088868,2026-09-14,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50184059,KOKE,Coffee/Tea,173,BLEECKER STREET,Manhattan,10012,5125904102,2026-09-14,Pre-permit (Operational) / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.
50187085,LADY M CAKE BOUTIQUE,Bakery Products/Desserts,1,WEST 60 STREET,Manhattan,10023,7189378877,2026-09-14,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50188733,SHUN MAMA FOOD,Korean,136-21,ROOSEVELT AVENUE,Queens,11354,9174435800,2026-09-14,Pre-permit (Non-operational) / Re-inspection,Violations were cited in the following area(s).
50188862,BRONZE TAVERN,American,479,ATLANTIC AVENUE,Brooklyn,11217,7188018050,2026-09-14,Pre-permit (Non-operational) / Re-inspection,Violations were cited in the following area(s).
50189950,DIM SUM PALACE,Chinese,27,DIVISION STREET,Manhattan,10002,7186979925,2026-09-14,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50190743,STREET TACOS,Mexican,2102,AMSTERDAM AVE,Manhattan,10032,2014569983,2026-09-14,Pre-permit (Non-operational) / Re-inspection,Violations were cited in the following area(s).
