account_number,name,entity_type,status,registered,domestic_or_foreign,formation_place,naics,street,city,state,zip,email
3514599,FAST PACED AUTO LLC,LLC,Active,2026-09-11,Domestic,Connecticut,All Other Automotive Repair and Maintenance (811198),1656 Meriden Wtby Tpke,Milldale,CT,06467-6507,fastpacedauto3@gmail.com
3514610,Precision Digital Templating LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Drafting Services (541340),2389 MAIN STREET STE 100,Glastonbury,CT,06033,ops@mainstayfiling.com
3514611,Exotic Diesel Express LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"General Freight Trucking, Long-Distance, Truckload (484121)",511 West Main Street,Stamford,CT,06902,exoticdieselexpress@gmail.com
3514613,Mia's Daycare LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Child Care Services (624410),130 Lowin Ave,New Haven,CT,06515-2320,registrationhelp01@outlook.com
3514615,Hibachi Buffet 99 LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Full-Service Restaurants (722511),99 Farmington Ave,Bristol,CT,06010-4226,bxvj1487@hotmail.com
3514617,Day Night Nail 23 LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Nail Salons (812113),2300 Dixwell Ave,Hamden,CT,06514-2108,bxvj1487@hotmail.com
3514618,Battle Tied Flies LLC,LLC,Active,2026-09-11,Domestic,Connecticut,All Other General Merchandise Retailers (455219),152 Buff Cap Rd,Tolland,CT,06084,soldier2one2@me.com
3514633,KINGORA LOGISTICS LLC,LLC,Active,2026-09-11,Domestic,Connecticut,All Other General Merchandise Retailers (455219),115 Nutmeg Ln,East Hartford,CT,06118-1239,support@kingoralogistics.com
3514640,JUBUNASOL LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Other Computer Related Services (541519),33 CEDAR SWAMP EXT,COVENTRY,CT,06238-1024,jubuna.solutions@gmail.com
3514641,Ramesh Sandwich Station LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Limited-Service Restaurants (722513),98 West Main St,Clinton,CT,06413,rameshhussani38@gmail.com
3514643,DelVecchio Outdoors LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Sporting Goods Retailers (459110),20 City Road,Warren,CT,06754,anthony@delvecchiooutdoors.com
3514651,The URBN Orderhouse LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Cut and Sew Apparel Manufacturing except Contractors (315250),32 Hampton Ln,Bloomfield,CT,06002-1325,theurbanwildlife@gmail.com
3514658,vizualstems LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Software Publishers (513210),221 Mechanic St,Bristol,CT,06010-5430,support@vizualstems.com
3514661,Williams Street LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Other Activities Related to Real Estate (531390),54 Fuller Way,Berlin,CT,06037-1540,hvasel@yahoo.com
3514663,34 Gospel Lane LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Lessors of Nonresidential Buildings except Miniwarehouses (531120),54 Fuller Way,Berlin,CT,06037-1540,hvasel@yahoo.com
3514665,Joseph Mezei Memorial Scholarship Company,Non-Stock,Active,2026-09-11,Domestic,Connecticut,Grantmaking Foundations (813211),,,,,jaymezeimemorialscholarship@gmail.com
3514666,"Key Production Services, LLC",LLC,Active,2026-09-11,Foreign,FLORIDA,Other Management Consulting Services (541618),3311 Antica St,Fort Myers,FL,33905-1504,jay@keyproductions.net
3514693,1 Russell LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Other Activities Related to Real Estate (531390),98 ridge road,Middletown,CT,06457,1russell10.2026@gmail.com
3514695,"Seventy Five Collection, LLC",LLC,Active,2026-09-11,Foreign,DELAWARE,Offices of Other Holding Companies (551112),"595 Summer Street, 4th Floor",Stamford,CT,06901,legal@sunenergy1.com
3514699,PLANNIX INSURANCE SOLUTIONS LLC,LLC,Active,2026-09-11,Foreign,,,"101 CRAWFORDS CORNER RD, SUITE 4233",HOLMDEL,NJ,07733,LICENSING@FIRSTENROLL.COM
3514700,Court St Partners LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),151 New Park Ave,Hartford,CT,06106-2170,aaron@madecm.com
3514702,"Fielding Family, LLC",LLC,Active,2026-09-11,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),6 Spruce Ln,Oakdale,CT,06370,ljsrziegler@att.net
3514706,Clear View Real Estate LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Offices of Real Estate Agents and Brokers (531210),69 Old County Rd,Windsor Locks,CT,06096,awagner5776@gmail.com
3514709,"242 South Main Association, Inc.",Non-Stock,Active,2026-09-11,Domestic,Connecticut,"Other Similar Organizations except Business, Professional, Labor, and Political Organizations (813990)",,,,,phil@pinnlanddevelopment.com
3514710,Brayfield Advisory LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Educational Support Services (611710),495 White Birch Dr,Guilford,CT,06437-2139,jake@brayfieldadvisory.com
3514711,Say Something Creative LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Marketing Consulting Services (541613),2389 Main St.,Glastonbury,CT,06033,eastern@northwestregisteredagent.com
3514720,QTA LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",31 Norton Place,Norwalk,CT,06854,bfwq3@yahoo.com
3514722,"66 State St., LLC",LLC,Active,2026-09-11,Domestic,Connecticut,Other Activities Related to Real Estate (531390),381 State Street,North Haven,CT,06473,s.ryan@nationallumberinc.com
3514726,Apfel Consulting & Engineering LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Computer Systems Design Services (541512),2389 Main St.,Glastonbury,CT,06033,eastern@northwestregisteredagent.com
3514727,ADF ENGINEERING LLC,LLC,Active,2026-09-11,Foreign,,541330,"228 BYERS ROAD, SUITE 202",MIAMISBURG,OH,45342,RDONALDSON@ADFENGINEERING.COM
3514743,LAKE WINE AND SPIRITS LIQUORS LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"Beer, Wine, and Liquor Retailers (445320)",180 Main St S,Southbury,CT,06488-2299,appabcgllc@gmail.com
3514752,La Iglesia De Dios Puerta Del Cielo Inc.,Non-Stock,Active,2026-09-11,Domestic,Connecticut,Religious Organizations (813110),,,,,malvarez30@gmail.com
3514755,Linden Avenue Capital LLC,LLC,Active,2026-09-11,Domestic,Connecticut,All Other Miscellaneous Fabricated Metal Product Manufacturing (332999),2319 Whitney Ave,Hamden,CT,06518,1258lindenavenuecapital@gmail.com
3514758,Black Light Holdings LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Custom Computer Programming Services (541511),654 Cypress Road,Newington,CT,06111,blacklightholdingsllc@protonmail.com
3514767,Saylors Squeeze LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Mobile Food Services (722330),47 Cottage St,Meriden,CT,06450,codi@saylors-squeeze.com
3514773,"NSFH Fairfield, LLC",LLC,Active,2026-09-11,Domestic,Connecticut,Other Personal Care Services (812199),2131 Black Rock Tpke,Fairfield,CT,06825,legal@nsf-holdings.com
3514779,Carrot Leadership LLC,LLC,Active,2026-09-11,Foreign,FLORIDA,Administrative Management and General Management Consulting Services (541611),218 NW 24th St,Miami,FL,33127-4324,isabel@carrotexpress.com
3514780,44 Main Street Owner LLC,LLC,Active,2026-09-11,Foreign,DELAWARE,Other Activities Related to Real Estate (531390),411 Theodore Fremd Ave,Rye,NY,10580,filings@acadiarealty.com
3514785,AB3RN DESIGN LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Engineering Services (541330),20 LORRAINE DR,STORRS,CT,06268,efile1234@incfile.com
3514791,FERN & FOREST LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Art Dealers (459920),27 COURT ST # 1,NEW HAVEN,CT,06511,efile1234@incfile.com
3514797,J&D Green Hill Road LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),85 Green Hill Rd,Madison,CT,06443-2161,jimedbell@yahoo.com
3514799,Everyday Detail LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Car Washes (811192),2389 Main St.,Glastonbury,CT,06033,eastern@northwestregisteredagent.com
3514806,"Whitewolf Energy, LLC",LLC,Active,2026-09-11,Domestic,Connecticut,Other Management Consulting Services (541618),21 Armand Rd,Ridgefield,CT,06877,darren1_kelly@hotmail.com
3514808,Gomes Legacy Group LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Sports and Recreation Instruction (611620),1 Park Place Cir,West Hartford,CT,06110,gomeslegacygroupllc@gmail.com
3514809,1258 Propco LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Other Activities Related to Real Estate (531390),2319 Whitney Ave,Hamden,CT,06518-3509,1258lindenavenuecapital@gmail.com
3514815,"BAILEY EDUCATION GROUP, LLC",LLC,Active,2026-09-11,Foreign,MISSISSIPPI,Educational Support Services (611710),201 Park Ct Ste B,Ridgeland,MS,39157-2229,license@baileyarch.com
3514821,Leo Grey Design LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Interior Design Services (541410),580 Rolling Hills Drive,Fairfield,CT,06824,breanne@leogreydesign.com
3514823,Kamil Logistics LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"General Freight Trucking, Local (484110)",851 E Main st,Waterbury,CT,06705,logisticskamil@gmail.com
3514831,Red Line Home Improvement llc,LLC,Active,2026-09-11,Domestic,Connecticut,Residential Remodelers (236118),295 Fan Hill Rd,Monroe,CT,06468,redlinehimprovement@gmail.com
3514840,Our Legacy LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),9213 Avalon Gates,Trumbull,CT,06611,filings@corpnet.com
3514842,Y & J Signature Cleaning LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Janitorial Services (561720),46 Oconnell Dr,East Hartford,CT,06118-3332,yahairahern@hotmail.com
3514844,L & A Solutions Limited Liability Company,LLC,Active,2026-09-11,Domestic,Connecticut,All Other Consumer Goods Rental (532289),942 Sullivan Ave,South Windsor,CT,06074-2033,la@larentalsolutions.com
3514845,The Fresh Factoryy LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"Automotive Body, Paint, and Interior Repair and Maintenance (811121)",2389 Main St.,Glastonbury,CT,06033,eastern@northwestregisteredagent.com
3514851,DJ&J Trucking LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"General Freight Trucking, Long-Distance, Truckload (484121)",20 OAKLAND TER,HARTFORD,CT,06112-2347,bankroftypk@gmail.com
3514854,LT Seidel Consulting LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Research and Development in the Social Sciences and Humanities (541720),55 N Salem Rd,Ridgefield,CT,06877-3806,t.lorena@gmail.com
3514856,Rent & Return Co. Limited Liability Company,LLC,Active,2026-09-11,Domestic,Connecticut,General Rental Centers (532310),39 Nott Hwy,Ashford,CT,06278-1341,rent@rentreturnco.com
3514858,A.K.A Painters Etc LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Painting and Wall Covering Contractors (238320),48 S Main St,ESSEX,CT,06426,akapaintersetc@aol.com
3514861,SELF EVALUATION CARING SOLUTIONS INC.,Non-Stock,Active,2026-09-11,Domestic,Connecticut,Residential Mental Health and Substance Abuse Facilities (623220),,,,,efile1234@incfile.com
3514863,J&Y Legacy Holdings LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),274 W Broad St,Stamford,CT,06902-3636,jylegacyholdingsllc@gmail.com
3514869,MPNL Holdings LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Miscellaneous Financial Investment Activities (523999),190 BYRAM SHORE RD,Greenwich,CT,06830,patrick.lathrop@gmail.com
3514877,CT FIREPLACE BROS LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Residential Remodelers (236118),32 Grace St,New Haven,CT,06511-2710,natanaeljuarez02@gmail.com
3514883,Flywheel Forge LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"Research and Development in the Physical, Engineering, and Life Sciences except Nanotechnology and Biotechnology (541715)",34 Hilltop View Rd,New Milford,CT,06776,shouldbediving@gmail.com
3514887,Let's Talk Death Inc.,Non-Stock,Active,2026-09-11,Domestic,Connecticut,Educational Support Services (611710),,,,,lisa@letstalkdeath.life
3514889,Helm LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),48 lake george rd,brookfield,CT,06804,kristin@helmwithyou.com
3514893,26 KNIGHT STREET LLC,LLC,Active,2026-09-11,Domestic,,531390,26 KNIGHT STREET,NORWALK,CT,06851,JSTMPF@AOL.COM
3514898,FACILITIES MANAGEMENT SOLUTIONS CORP.,Stock,Active,2026-09-11,Foreign,NEW YORK,Janitorial Services (561720),1207 Route 9 Ste 6D,Wappingers Falls,NY,12590-4987,sbr12550@gmail.com
3514900,Dudzic Enterprises LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Miscellaneous Intermediation (523910),514 Foster St,South Windsor,CT,06074-2935,marcindudzic1110@gmail.com
3514909,Wesco distributions Inc,Stock,Active,2026-09-11,Domestic,Connecticut,Advertising Material Distribution Services (541870),,,,,stop2424go@gmail.com
3514927,Ice Rock Investments Limited Liability Company,LLC,Active,2026-09-11,Domestic,Connecticut,Other Activities Related to Real Estate (531390),30 Jelliff Mill Rd,New Canaan,CT,06840,tcalabretta@gmail.com
3514928,ECUAMEXUSA LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Convenience Retailers (445131),318 Grand Ave,New Haven,CT,06513-3728,caro.tola1@gmail.com
3514932,Bransfield Vanguard Biosciences LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers (423450)",19 Spector Road,Woodbridge,CT,06525,bransfieldvanguardbioscience@gmail.com
3514939,MBA TRANSPORT LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"General Freight Trucking, Long-Distance, Truckload (484121)",28 Tower Rd,East Hartford,CT,06108-3037,efieschi72@gmail.com
3514944,caleb's diesel repair LLC,LLC,Active,2026-09-11,Domestic,Connecticut,General Automotive Repair (811111),41 Olenick Rd,lebanon,CT,06249,caleb@jgdiesel.com
3514949,44 Mayo Ave LLC,LLC,Active,2026-09-11,Foreign,DELAWARE,Lessors of Residential Buildings and Dwellings (531110),"48 Waterfield Rd, #103",Winchester,MA,01890-7057,44mayo@bastioncaf.com
3514952,Painting The Past LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers (516210)",2552 Manitou Is,White Bear Lake,MN,55110-3901,paintingthepast2025@gmail.com
3514964,Emergency Readiness and Solutions Group LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Other Individual and Family Services (624190),71 Bradley Road,madison,CT,06443,alex.klein@shorelinetherapycenter.com
3514965,Swick Wine Cellars LLC,LLC,Active,2026-09-11,Foreign,OREGON,Wineries (312130),28005 NE Bell Rd,Newberg,OR,97132,compliance@swickwines.com
3514967,Jack Kuenzle Coaching LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Sports and Recreation Instruction (611620),141 South St,Roxbury,CT,06783-2001,jackkuenzlecoaching@gmail.com
3514969,Valley Music Hub LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Fine Arts Schools (611610),253 Bank Street,Seymour,CT,06483,valleymusichub@gmail.com
3514983,SMYRNA LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Limited-Service Restaurants (722513),312 Hartford Tpke,Vernon Rockville,CT,06066,ogunckmk@gmail.com
3514987,XTREME LIMO RIDE LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Automobile and Other Motor Vehicle Merchant Wholesalers (423110),76 RICHARDS PLACE,West Haven,CT,06516,efieschi72@gmail.com
3514992,Golden Golf LLC,LLC,Active,2026-09-11,Domestic,Connecticut,All Other Amusement and Recreation Industries (713990),6 Golden Hill St,Milford,CT,06460-4622,lizfogler@optonline.net
3515001,"Coera, Inc.",Stock,Active,2026-09-11,Foreign,DELAWARE,Other Scientific and Technical Consulting Services (541690),201 College Rd E,Princeton,NJ,08540-6610,ykim@gclabt.com
3515002,Friends of Conard Soccer Inc.,Non-Stock,Active,2026-09-11,Domestic,Connecticut,Civic and Social Organizations (813410),,,,,friendsofconardsoccer@gmail.com
3515006,"The Court Edit, LLC",LLC,Active,2026-09-11,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),490 West Rd,New Canaan,CT,06840,courtedit@gmail.com
3515008,NSFH West Hartford LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Other Personal Care Services (812199),1800 Asylum Ave,West Hartford,CT,06117-2659,legal@nsf-holdings.com
3515017,I&I Legacy L.L.C.,LLC,Active,2026-09-11,Domestic,Connecticut,Record Production and Distribution (512250),80 Simmons Rd,East Hartford,CT,06118-1148,joshuachris@iandilegacy.com
3515018,IKA Global Logistics LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"General Freight Trucking, Long-Distance, Truckload (484121)",55 Howe RD,New Britain,CT,06053,isma._90@hotmail.com
3515023,South St LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),49 Mulberry ln,NEW ROCHELLE,NY,10804,richie@pacehomebuyers.com
3515024,FLAWLESS RENOVATION LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Residential Remodelers (236118),20 Deepwood Dr,Bethel,CT,06801-1267,sabrinabusinesscenter@gmail.com
3515028,Junebug's Market Limited Liability Company,LLC,Active,2026-09-11,Domestic,Connecticut,Retail Bakeries (311811),138 Jordan Rd,Willimantic,CT,06226-3815,junebugsmarket.ct@gmail.com
3515029,Green Beret Foundation Co,Non-Stock,Active,2026-09-11,Foreign,CALIFORNIA,Grantmaking Foundations (813211),10205 US 15 501 Hwy,Southern Pines,NC,28387-5180,gbffinance@greenberetfoundation.org
3515043,TrustED Table LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Software Publishers (513210),2 Harbor Point Rd S,Stamford,CT,06902-9601,sshapiro.rd@gmail.com
3515074,"SPC ADVISORS INTERNATIONAL, LIMITED PARTNERSHIP",Limited Partnership,Active,2026-09-11,Foreign,,525990,"TWO GREENWICH PLAZA, SUITE 1",GREENWICH,CT,06830,ENTITYMGMT@SILVERPOINTCAPITAL.COM
3515078,Axis Rize LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),28 Colony Rd,Plymouth,CT,06782,contact@axisrize.com
3515079,Scionti Property Services LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Residential Remodelers (236118),80 Tariff Street,Enfield,CT,06082,scionti.ps@outlook.com
3515104,Great Society Strategies LLC,LLC,Active,2026-09-11,Domestic,,541820,100 TRESSER BLVD #1410,STAMFORD,CT,06901,simon@greatsocietystrategies.com
3515106,AngelaTech Education LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Computer Training (611420),37 Carroll St,Stamford,CT,06907-1708,angela.dacunto@angelatecheducation.com
3515113,Teleraven PLLC,LLC,Active,2026-09-11,Domestic,Connecticut,Diagnostic Imaging Centers (621512),57 Zenith Ln,Glastonbury,CT,06033-2826,hubervir@gmail.com
3515114,Westport Imports LLC,LLC,Active,2026-09-11,Domestic,Connecticut,All Other General Merchandise Retailers (455219),26 Center St,Westport,CT,06880-5305,info@westportimports.com
3515116,Access Market & Fulfillment LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Drugs and Druggists' Sundries Merchant Wholesalers (424210),97 Wyllys St,Hartford,CT,06106,nelymathurin1905@gmail.com
3515131,Minis Metal Works LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"Other Foundation, Structure, and Building Exterior Contractors (238190)",43 Flagg Hill Rd,Colebrook,CT,06021-4010,minismetalworks@gmail.com
3515133,Noble Home Consultants L.L.C.,LLC,Active,2026-09-11,Domestic,Connecticut,Residential Remodelers (236118),30 Walter Ln,Hamden,CT,06514-2648,todd@noblehomeconsultants.com
3515147,Pose Portal Photo Booth Rentals LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Recreational Goods Rental (532284),855 Main Street,Bridgeport,CT,06604,eerivera536@hotmail.com
3515152,Serenity Property Maintenance llc by Kervin,LLC,Active,2026-09-11,Domestic,Connecticut,Electronic and Precision Equipment Repair and Maintenance (811210),118 south st,waterbury,CT,06706,kervin.torrez@aol.com
3515168,"Bear Psychotherapy, LLC",LLC,Active,2026-09-11,Domestic,Connecticut,Offices of Mental Health Practitioners except Physicians (621330),29 Carpenter Hts,Meriden,CT,06450-6108,clayrob@me.com
3515190,Munio LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Insurance Agencies and Brokerages (524210),630 Oakwood Dr,Glastonbury,CT,06033-2440,mtetreault86@gmail.com
3515193,"Beauty In, Gorgeous Out LLC",LLC,Active,2026-09-11,Domestic,Connecticut,Beauty Salons (812112),32 Columbus Cir,East Hartford,CT,06108-1734,beautyingorgeousout@outlook.com
3515197,Forever Moments Events By Lisa LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Convention and Trade Show Organizers (561920),88 Ambassador Dr,Manchester,CT,06042-2447,aliciaj524@gmail.com
3515200,Capitol Admissions Professionals LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Educational Support Services (611710),113 Capitol Drive,shelton,CT,06484,karrie@capitoladmissions.com
3515207,Tye Henney LLC,LLC,Active,2026-09-11,Domestic,Connecticut,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers (516210)",65 Russo Ave,East Haven,CT,06513-2749,tyehenney120@icloud.com
3515218,"V & Associates Automation, LLC",LLC,Active,2026-09-11,Domestic,Connecticut,Engineering Services (541330),7 Garden Path,Farmington,CT,06032-2728,svargas@vaacontrols.com
3515229,Prep List Sell Rent LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Interior Design Services (541410),40 Motil Pl,STRATFORD,CT,06614,preplistsellrent@gmail.com
3515233,Zayiti LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Graphic Design Services (541430),38 Fairfiel,Stamford,CT,06902,andersonlanglois01@gmail.com
3515238,Byrneside Capital Holdings LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),37 Byrneside Ave,Waterbury,CT,06704-2920,vencapital@venbroker.com
3515248,Terravian Snow & Ice Management LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Other Services to Buildings and Dwellings (561790),7 McKee Pl,Cheshire,CT,06410-1119,terraviansnow@gmail.com
3515253,Off white LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Janitorial Services (561720),859 Foxon Rd,East Haven,CT,06513-1835,aljordanian@gmail.com
3202917,Black Onyx Investment Club LLC,LLC,Active,2026-09-10,Domestic,,523910,39 Masters Way,Manchester,CT,06040,PMMSPORT@AOL.COM
3501504,"Pennigan Again, LLC",LLC,Active,2026-09-10,Foreign,DELAWARE,Private Households (814110),600 Madison Ave,New York,NY,10022,investments@rubenco.com
3507229,Elevated Blends LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Barber Shops (812111),1 Liberty Sq,New Britain,CT,06051-2637,evbarber860@gmail.com
3507445,"Opencare Global Health Initiative, Inc",Non-Stock,Active,2026-09-10,Domestic,Connecticut,Voluntary Health Organizations (813212),,,,,ebroni@opencareglobalhealthinitiative.org
3508169,"Holistic Harmony Health, PLLC",LLC,Active,2026-09-10,Domestic,Connecticut,Offices of All Other Miscellaneous Health Practitioners (621399),2389 Main St.,Glastonbury,CT,06033,reingeorge@icloud.com
3509233,Homestead Care LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Assisted Living Facilities for the Elderly (623312),306 Homestead Ave,Waterbury,CT,06705-2715,contact.homesteadcare@gmail.com
3510097,Emerging Kids Pediatric Occupational Therapy LLC,LLC,Active,2026-09-10,Foreign,MASSACHUSETTS,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",41 Crossroads Plz,West Hartford,CT,06117-2402,codylukasikotr@emergingkids.org
3510137,"PILOTIS RETAIL US, Corp.",Stock,Active,2026-09-10,Foreign,NEW YORK,All Other Business Support Services (561499),350 5th Ave,New York,NY,10118,catherine.kastning@funaro.com
3511639,10-12 Bigelow Ave LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),10-12 Bigelow Ave,Enfield,CT,06082,filings@strlawguys.com
