account_number,name,entity_type,status,registered,domestic_or_foreign,formation_place,naics,street,city,state,zip,email
3519742,JB Executive Transportation LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Taxi and Ridesharing Services (485310),17 Berkeley Street,Norwalk,CT,06850,julianabriones906@gmail.com
3519754,"DDA Advisory, LLC",LLC,Active,2026-09-20,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),25 Webster Rd,Ridgefield,CT,06877,diane@ddaadvisoryllc.com
3519767,Patsun Septic and Drain LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Site Preparation Contractors (238910),20 Blueberry Hill Rd,Tolland,CT,06084-3718,brian@patsunseptic.com
3519778,The Stacks LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Limited-Service Restaurants (722513),61 Mechanic St,New Haven,CT,06511-2633,thestacksnhv@gmail.com
3519782,Africa Rebirth Limited Liability Company,LLC,Active,2026-09-20,Domestic,Connecticut,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers (516210)",30 Maplewood Road,New Haven,CT,06515,editor@africarebirth.com
3519792,"Linny Bee Creations, LLC",LLC,Active,2026-09-20,Domestic,Connecticut,All Other Miscellaneous Manufacturing (339999),15 Indian Cave Rd,Salisbury,CT,06068-1813,linda@linnybeecreations.com
3519805,Daniel Polo LLC,LLC,Active,2026-09-20,Domestic,Connecticut,All Other Personal Services (812990),103 Timber Trail,Wethersfield,CT,06109,danpolocoaching@gmail.com
3519807,River Valley Earthworks LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Site Preparation Contractors (238910),535 mount parnassus rd,East haddam,CT,06423,rivervalleyearthworks@gmail.com
3519825,RoseTradesAuctions LLC,LLC,Active,2026-09-20,Domestic,Connecticut,All Other General Merchandise Retailers (455219),60 Belamose Ave,Rocky Hill,CT,06067-3773,rosetradesebay@gmail.com
3519833,FirstRate Solutions L.L.C.,LLC,Active,2026-09-20,Domestic,Connecticut,Janitorial Services (561720),244 Summer St,Bristol,CT,06010,wesleykyei97@gmail.com
3519858,Fielded Logic LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),406 Center St,West Haven,CT,06516-4204,ctscanlan@yahoo.com
3519861,Little Copts LLC,LLC,Active,2026-09-20,Domestic,Connecticut,All Other General Merchandise Retailers (455219),5 Old Oak Court,Bloomfield,CT,06002,littlecoptsbycopticapparel@gmail.com
3519863,ARAAN TECH LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Custom Computer Programming Services (541511),7 Hoplea Rd,Simsbury,CT,06070,robin@araantech.com
3519876,Vanguard Power Wash LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Other Services to Buildings and Dwellings (561790),322 Redstone Hill Rd,Bristol,CT,06010,thevanguardpowerwashct@gmail.com
3519880,Harbor Point Safety LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Other Scientific and Technical Consulting Services (541690),583 Booth Hill Rd,Trumbull,CT,06611-4005,chloec.consultant@gmail.com
3519897,By Brooke Photography LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Commercial Photography (541922),39 Route 164,Preston,CT,06365-8820,bbochese@gmail.com
3519899,Aj's Legacy Group LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Passenger Car Rental (532111),45 Wintonbury Ave,Bloomfield,CT,06002-2470,aj'slegacy@ajlegacygroupllc.com
3519901,AltaFlor LLC,LLC,Active,2026-09-20,Domestic,Connecticut,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers (424930)",100 Tresser Blvd,Stamford,CT,06901,andres.enriquez@gmail.com
3519904,Cafe Bader Dog Bakery LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Dog and Cat Food Manufacturing (311111),5 Case St,Canton,CT,06019-5006,cafebaderdogbakery@gmail.com
3519906,Ghobiii Trading LLC,LLC,Active,2026-09-20,Domestic,Connecticut,All Other General Merchandise Retailers (455219),18 Lincoln Street,Windsor Locks,CT,06096,ghobiiis@gmail.com
3519907,Coastal threads LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),245 Old Forge Rd,Riverton,CT,06065-1215,vallcoconsulting@gmail.com
3519912,Uncle John's Construction LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Residential Remodelers (236118),73 Three Lakes Drive,Stamford,CT,06902,matt@unclejohnsconstruction.com
3518746,Lebramont Specialty Physicians PLLC,LLC,Active,2026-09-19,Domestic,Connecticut,Offices of Physicians except Mental Health Specialists (621111),455 Lovely St,Avon,CT,06001,amir.h.lebaschi@gmail.com
3519341,Beacon Ledge Properties LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),80 Timber Ridge Dr,Pawcatuck,CT,06379-1257,beacon.ledge.properties@gmail.com
3519349,Ultra Tech Electric LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Electrical Contractors and Other Wiring Installation Contractors (238210),17 River Rd,MERIDEN,CT,06451-5025,gbyrnes001@gmail.com
3519357,"Read Between the Wines, LLC",LLC,Active,2026-09-19,Domestic,Connecticut,"Promoters of Performing Arts, Sports, and Similar Events without Facilities (711320)",41 Loomis St,Milford,CT,06460,linda.s.richards@gmail.com
3519362,Jp glass and shower door LLC,LLC,Active,2026-09-19,Domestic,Connecticut,All Other Specialty Trade Contractors (238990),229 Lloyd St,New Haven,CT,06513-3714,jp_glass01@yahoo.com
3519367,DeVille Enterprises LLC,LLC,Active,2026-09-19,Domestic,Connecticut,"General Freight Trucking, Local (484110)",315 Lake Ave,Bristol,CT,06010-7326,daniel@devilleenterprise.com
3519373,GAB&K Rentals LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Passenger Car Rental (532111),100 Maple St,Bridgeport,CT,06608-2114,gabkrentals@gmail.com
3519393,Jexi Distribution Group LLC,LLC,Active,2026-09-19,Domestic,Connecticut,All Other General Merchandise Retailers (455219),6 Landmark Square,Stamford,CT,06901,jackson@jexidistribution.com
3519394,Blazin Treats LLC,LLC,Active,2026-09-19,Domestic,Connecticut,All Other General Merchandise Retailers (455219),68 Williow st,Waterbury,CT,06704,bag_boyfedi@icloud.com
3519405,Emuni LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),60 Old Town Rd,Vernon Rockville,CT,06066-2370,hello@emuni.shop
3519417,We Craftmore LLC,LLC,Active,2026-09-19,Domestic,Connecticut,All Other Miscellaneous Manufacturing (339999),476 Lebanon Rd,North Franklin,CT,06254-1613,wecraftsmore@gmail.com
3519419,EMT FRESH SPACE LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Janitorial Services (561720),3 Nichols St,Danbury,CT,06810-6726,mariatepan632@gmail.com
3519428,Capital Crown LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Jewelry Retailers (458310),6 Brockett Rd,Wallingford,CT,06492-5630,b.angelico@icloud.com
3519452,Conwell & Co LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Marketing Consulting Services (541613),20 Homestead Rd,Darien,CT,06820-3129,marion@conwellandco.com
3519470,S&T Collective LLC,LLC,Active,2026-09-19,Domestic,Connecticut,All Other General Merchandise Retailers (455219),122 Old Farms W,Middletown,CT,06457-7501,samantha@habithouse.co
3519474,KELLY HERNSDORF STUDIO LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Interior Design Services (541410),8 Stevens Street,Avon,CT,06001,khernsdorf@me.com
3519480,229 Woodside LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),78 Random Rd,Fairfield,CT,06825-1406,acohen9733@aol.com
3519494,Carol Stewart LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Other Management Consulting Services (541618),28 Wildwood Dr,Branford,CT,06405-3935,chstew52@gmail.com
3519501,Summit Financial & Business Solutions LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Tax Preparation Services (541213),13 Lindberg St,Bethel,CT,06801-2018,pedrovinicius.mrodrigues@gmail.com
3519511,CJS Mobile Mechanic Limited Liability Company,LLC,Active,2026-09-19,Domestic,Connecticut,All Other Automotive Repair and Maintenance (811198),293 Scott Rd,Terryville,CT,06786-5723,christine.tomasello@yahoo.com
3519533,Frozen Klub LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),70 Atwater Ave,Derby,CT,06418-1461,info@frozenklub.com
3519567,Bring the party Limited Liability Company,LLC,Active,2026-09-19,Domestic,Connecticut,Caterers (722320),119 Lyons St,New Britain,CT,06052-1935,bringthepartyam@outlook.com
3519572,Applied Operations Solutions LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),206 Spring Hill Rd,Storrs Mansfield,CT,06268-2801,will@aosct.com
3519578,D's Apparel LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),2720 STATE STREET,HAMDEN,CT,06517,dlank1800@gmail.com
3519584,Hill Family LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Lessors of Other Real Estate Property (531190),25 Field Point Dr,Greenwich,CT,06830-7013,hillfamilyllc0@gmail.com
3519587,23 Pemberwick LLC,LLC,Active,2026-09-19,Domestic,Connecticut,Lessors of Other Real Estate Property (531190),25 Field Point Dr,Greenwich,CT,06830-7013,pemberwickllc@gmail.com
3519598,Bid Precision LLC,LLC,Active,2026-09-19,Domestic,Connecticut,"All Other Professional, Scientific, and Technical Services (541990)",25 Kings Meadow Ln,Suffield,CT,06078-2475,ddelgado@bid-precision.com
3501054,WPC Real Estate Group LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),1 Kingston Rd,New Fairfield,CT,06812-4355,wpcrealestategroup@gmail.com
3507611,Blackthorne LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Offices of Other Holding Companies (551112),17 Terrace Dr,Plainfield,CT,06374,blackthornecompany@gmail.com
3508706,Engleman Fallon Limited Liability Partnership,LLP,Active,2026-09-18,Foreign,DISTRICT OF COLUMBIA,Offices of Lawyers (541110),,,,,mengleman@efenergylaw.com
3514299,"Stonecroft Restaurant Holding, LLC",LLC,Active,2026-09-18,Domestic,Connecticut,Full-Service Restaurants (722511),515 Pumpkin Hill Road,Ledyard,CT,06339,innkeeper@stonecroft.com
3515005,RIO BRAVO OF RIDGEFIELD LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Full-Service Restaurants (722511),1879 Palmer Ave,Larchmont,NY,10538-3017,riobravolarchmont@gmail.com
3515121,Elite Media Group Inc.,Stock,Active,2026-09-18,Foreign,NEW YORK,Advertising Agencies (541810),433 CHURCH AVENUE,Cedarhurst,NY,11516,finance@elitemedia.group
3517045,"DIVERSE PIPELINE SERVICES, LLC",LLC,Active,2026-09-18,Foreign,LOUISIANA,"All Other Professional, Scientific, and Technical Services (541990)",419 bunker ln,Monroe,LA,71203,admin@diversepipe.com
3517198,Rebondir LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),111 Pearl St,Hartford,CT,06103-2449,support@rebondirco.com
3518175,Compel Graphics and Printing LLC,LLC,Active,2026-09-18,Foreign,ALABAMA,Graphic Design Services (541430),6896 Gray Oaks Dr,Theodore,AL,36582,julie@compelprinting.com
3518449,"262 Flax Hill Rd., LLC",LLC,Active,2026-09-18,Domestic,Connecticut,Lessors of Other Real Estate Property (531190),6 Norvel Rd,Norwalk,CT,06850-2419,dbd908@yahoo.com
3518757,MFD SWEETS INC,Stock,Active,2026-09-18,Domestic,Connecticut,Confectionery and Nut Retailers (445292),,,,,akshar1228@gmail.com
3518760,Loxha Property Holdings LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),15 Meadow ST,Harrison,NY,10528,bloxha@gmail.com
3518761,health4wealth LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Convenience Retailers (445131),50 Old Brickyard Ln,Berlin,CT,06037-1437,sjwebpix@gmail.com
3518765,18 Lives LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Software Publishers (513210),29 Sky View Dr,West Hartford,CT,06117-2642,18livesllc@gmail.com
3518766,Smiles Redefined LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Offices of Dentists (621210),82 Spring Lane,West Hartford,CT,06107,drajaydhingra@gmail.com
3518770,Sideline North Co. LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),92 Ichabod Ln,Burlington,CT,06013-2427,shop@sidelinenorthco.com
3518772,Mi Cielo Coffee LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Mobile Food Services (722330),382 Elm St,Enfield,CT,06082-3906,micielocoffee.usa@gmail.com
3518774,Iso Sports Capital LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Portfolio Management and Investment Advice (523940),2389 Main St,Glastonbury,CT,06033,joshuamhare@gmail.com
3518776,Clarke Center Inc.,Non-Stock,Active,2026-09-18,Domestic,Connecticut,Child Care Services (624410),,,,,info.clarkecenter@gmail.com
3518784,RC2 Ventures LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Offices of Other Holding Companies (551112),2389 Main St,Glastonbury,CT,06033-4617,eastern@northwestregisteredagent.com
3518791,ParamedicOPS Limited Liability Company,LLC,Active,2026-09-18,Domestic,Connecticut,Software Publishers (513210),20 Parker St,Enfield,CT,06082-2919,cjohnston@paramedicops.app
3518793,SwapRound LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Web Search Portals and All Other Information Services (519290),304 Main Ave,Norwalk,CT,06851-6167,swapround.admin@gmail.com
3518799,VillaCon Group LLC,LLC,Active,2026-09-18,Domestic,Connecticut,"Automotive Body, Paint, and Interior Repair and Maintenance (811121)",41 Meetinghouse Ter,New Milford,CT,06776-5119,taxadmin@seneca-business.com
3518800,CJM Super Bargains LLC,LLC,Active,2026-09-18,Domestic,Connecticut,All Other General Merchandise Retailers (455219),17 Mountainview Road,Southington,CT,06489,jeffjam59@yahoo.com
3518810,Mike and The Boys Painting and Contracting LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Painting and Wall Covering Contractors (238320),16 Moshier St,Greenwich,CT,06831-4312,tbici54@gmail.com
3518814,Eternal Holdings LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),205 E Thompson Rd,Thompson,CT,06277-1929,jon@theatlanticco.com
3518817,JERepair LLC,LLC,Active,2026-09-18,Domestic,Connecticut,General Automotive Repair (811111),73 Pullen Ave,Oakville,CT,06779-2321,jerepairllc@gmail.com
3518824,xccx LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Graphic Design Services (541430),2389 Main St.,Glastonbury,CT,06033,eastern@northwestregisteredagent.com
3518825,"N8304L, LLC",LLC,Active,2026-09-18,Domestic,Connecticut,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing (532411)",25 Peters Rd,Bloomfield,CT,06002-1332,todd@eagleflooringllc.com
3518827,Luxa Elite LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Travel Agencies (561510),67 Prospect Hill Rd,New Milford,CT,06776-3711,luxaelitetravel@gmail.com
3518830,BCP & Co Two LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Solid Waste Collection (562111),255 Fillow St,Norwalk,CT,06850-2720,toni@franksrefuse.com
3518835,112 So. Colony St. LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Lessors of Other Real Estate Property (531190),112 S Colony St,Meriden,CT,06450-5500,latisha.martinez03@yahoo.com
3518839,Best Home Care Services LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Services for the Elderly and Persons with Disabilities (624120),419 Park Rd West Hartford,"West Hartford, CT 06119",CT,06119,besthomeservices100@gmail.com
3518842,LOPEZ INVESTMENTS GROUP LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Residential Remodelers (236118),222 Grannis St,East Haven,CT,06512-1506,lopezbuildingrp@gmail.com
3518853,"Roofers Local Union No. 12 Holding Company, LLC",LLC,Active,2026-09-18,Domestic,Connecticut,Nonresidential Property Managers (531312),7 Research Drive,Woodbridge,CT,06525,kevin@rooferslocal12.com
3518856,"Moulton Preserve, LLC",LLC,Active,2026-09-18,Domestic,Connecticut,Other Activities Related to Real Estate (531390),1 Financial Plaza,Hartford,CT,06103,tkasper@reidandriege.com
3518860,Accenture National Solutions LLC,LLC,Active,2026-09-18,Foreign,DELAWARE,Administrative Management and General Management Consulting Services (541611),"800 N. Glebe Road, Suite 400",Arlington,VA,22203,govdocs@corpcreations.com
3518868,"GARRITY NAVIGATOR HOLDINGS, LLC",LLC,Active,2026-09-18,Domestic,Connecticut,Offices of Other Holding Companies (551112),22 Peters Rd,Bloomfield,CT,06002-1333,tomh@garrityasphalt.com
3518869,Memento Mori Designs LLC,LLC,Active,2026-09-18,Domestic,Connecticut,All Other Miscellaneous Retailers (459999),25 Riverside Drive,Clinton,CT,06413,magistrasol@gmail.com
3518871,"Denmark Events, LLC",LLC,Active,2026-09-18,Domestic,Connecticut,All Other Personal Services (812990),161 Dickinson Drive,Shelton,CT,06484,denise@denmarkevents.com
3518872,70 Race St LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),70 Race St,Bristol,CT,06010-1929,jareddziekan@gmail.com
3518873,CHADCO/MSP Phase 1 Four LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Other Activities Related to Real Estate (531390),180 John D Wardlaw Way,Hartford,CT,06106-3602,asanderson@hartfordhousing.org
3518878,PROFUNDO CAPITAL LLC,LLC,Active,2026-09-18,Foreign,NEW YORK,Miscellaneous Financial Investment Activities (523999),9 W BROAD ST STE 320,STAMFORD,CT,06092,john@profundocapital.com
3518881,Ravenswood Property Group CT LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Other Activities Related to Real Estate (531390),2299 Summer Street,Stamford,CT,06905,a.h.arowolo@gmail.com
3518886,JAE Unlimited LLC,LLC,Active,2026-09-18,Domestic,Connecticut,All Other General Merchandise Retailers (455219),251 W Main St,Stamford,CT,06902,jaeunlimited11@gmail.com
3518889,Liam Barber Studio LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Barber Shops (812111),471 Wethersfield Ave,Hartford,CT,06114-1933,acostaw34@gmail.com
3518890,POLISH OE ONE LLC,LLC,Active,2026-09-18,Foreign,DELAWARE,Janitorial Services (561720),244 Madison Ave,New York,NY,10016,finance@empireportfolio.com
3518893,CHADCO/MSP Phase 1 Nine LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Other Activities Related to Real Estate (531390),180 John D Wardlaw Way,Hartford,CT,06106-3602,asanderson@hartfordhousing.org
3518894,Grandmas Home LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),8 Bluff Rd W,Gales Ferry,CT,06335-1456,grandmashouse10bluff@gmail.com
3518897,"147 Candlewood Road, LLC",LLC,Active,2026-09-18,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),29 Warren St,Cheshire,CT,06410-2749,larosa.alexander@gmail.com
3518899,LELI Enterprises LLC,LLC,Active,2026-09-18,Domestic,Connecticut,"General Freight Trucking, Long-Distance, Truckload (484121)",37 Nicole Ct,East Haven,CT,06512-1546,oozy26@hotmail.com
3518900,Althea Insurance Services LLC,LLC,Active,2026-09-18,Foreign,DELAWARE,Insurance Agencies and Brokerages (524210),700 Canal Street,Stamford,CT,06902,geoffroy@altheainsurance.com
3518903,"PallenTich Properties, LLC",LLC,Active,2026-09-18,Domestic,Connecticut,Residential Property Managers (531311),38 Nortontown Road,Madison,CT,06443,rpallenberg216@gmail.com
3518906,"Guidelight Health Services, LLC",LLC,Active,2026-09-18,Foreign,DELAWARE,Office Administrative Services (561110),101 Federal Street,Boston,MA,02110,chelsea.ladendorf@guidelighthealth.com
3518908,Hasbro Leather LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Footwear and Leather Goods Repair (811430),304 Main Ave,Norwalk,CT,06851,mc@hasbroleather.com
3518911,ThE Handyman & Remodeling LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Residential Remodelers (236118),135 Manila St,Bridgeport,CT,06610-2310,tommycorea10@hotmail.com
3518912,Soundview Payroll LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Payroll Services (541214),500 Post Rd E,Westport,CT,06880-4431,jack.micknak@gmail.com
3518914,EL RASPA ELECTROMECANICA LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Specialized Automotive Repair (811114),22 BRIDGE ST,NEW MILFORD,CT,06776,mf5210982@gmail.com
3518917,CW Carpentry's Constructions LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Residential Remodelers (236118),116 Lockwood Ave,Stamford,CT,06902-5228,celsowaldemarcortezvargas@gmail.com
3518925,GAME OF BUILDERS LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Finish Carpentry Contractors (238350),2 Haley St,Danbury,CT,06811-3123,gameofbuilderss@gmail.com
3518928,TP Laundry Services LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Coin-Operated Laundries and Drycleaners (812310),17 Hintz Dr,Wallingford,CT,06492-2001,matt.thurston16@gmail.com
3518935,Erebrix Security Labs LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Software Publishers (513210),2389 Main St.,Glastonbury,CT,06033,eastern@registeredagentsinc.com
3518943,SVIM Construction LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Finish Carpentry Contractors (238350),108 Webb Cir,Monroe,CT,06468-1451,skulskyi989@outlook.com
3518947,Northeast Marine Alloys LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Wholesale Trade Agents and Brokers (425120),277 Harrison Rd,Cheshire,CT,06410-3571,jruss06410@gmail.com
3518948,Prevision Logistics LLC,LLC,Active,2026-09-18,Foreign,MASSACHUSETTS,Couriers and Express Delivery Services (492110),137 Lathrop Rd,Plainfield,CT,06374-2033,tysonjohnson1124@gmail.com
3518950,THE LORD HIS MY PROVIDER LLC,LLC,Active,2026-09-18,Domestic,,492110,717 BLUE HILLS AVE,BLOOMFIELD,CT,06002,MPAUL5793@GMAIL.COM
3518951,MATT D GOODWIN LANDSCAPING LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Landscaping Services (561730),6 Joes Hill Rd,Danbury,CT,06811-4235,mgoodwinlandscaping@gmail.com
3518952,139 WHALLEY AVE LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Lessors of Other Real Estate Property (531190),1410 Dunbar Hill Rd,Hamden,CT,06514-1203,newhavenbrickoven@gmail.com
3518953,MY 1 LLC,LLC,Active,2026-09-18,Domestic,Connecticut,General Automotive Repair (811111),634 Center St,Manchester,CT,06040-3921,maninderarora67@gmail.com
3518955,One Press LLC,LLC,Active,2026-09-18,Domestic,Connecticut,"Promoters of Performing Arts, Sports, and Similar Events with Facilities (711310)",42 Republic Dr,Bloomfield,CT,06002-5461,chosenroberts39@gmail.com
3518956,"Threefold Property Solutions, Inc.",Stock,Active,2026-09-18,Domestic,Connecticut,Offices of Real Estate Appraisers (531320),,,,,threefoldproperty@protonmail.com
3518960,Kegman Products LLC,LLC,Active,2026-09-18,Domestic,Connecticut,Other Commercial Equipment Merchant Wholesalers (423440),7 Palmer Court,Ridgefield,CT,06877,thekegman@kegman.net
3518964,"HomeBound Community, Inc.",Non-Stock,Active,2026-09-18,Domestic,Connecticut,Other Social Advocacy Organizations (813319),,,,,homeboundteam@outlook.com
3518977,Genomic Heritage LLC,LLC,Active,2026-09-18,Domestic,Connecticut,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) (541715)",74 Prospect Rdg,Ridgefield,CT,06877-5113,wessel@genomicheritage.com
