license,establishment,aka,facility_type,risk,address,zip,inspected,inspection_type,result,pest_violation
3760050,ACERO RUFINO TAMAYO,ACERO RUFINO TAMAYO,School,Risk 1 (High),5135 S CALIFORNIA AVE,60632,2026-09-16,Canvass,Pass w/ Conditions,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OPENINGS AT BASE OF BOTH REAR EXIT DOORS NEAR BOY'S WASHROOM NEAR GYM. INSTRUCTED TO SEAL ALL OUTER OPENINGS TO PREVENT PEST ENTRANCE."
1716839,SPINZER RESTAURANT,SPINZER RESTAURANT,Restaurant,Risk 1 (High),2331 W DEVON AVE,60659,2026-09-16,Complaint,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: INADEQUATE INSECTS CONTROL, FOUND ABOUT 15 LIVE FRUIT FLIES SCATTERED THROUGH OUT DISH ROOM AND WASHROOM IN THE BASEMENT. ALSO FOUND ABOUT 50 DROPPING THROUGHTOUT THE BASEMENT. INSTRUCTED TO ELIMINATE INSECTS ACTIVITY IN ALL AFFECTED AREAS, PEST CONTROL SERVICE IS RECOMMENDED. PRIORITY FOUNDATION VIOLATION 7-38-020(A) | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOP HEADS NOT PROPERLY STORED. INSTRUCTED MANAGER TO HANG MOP HEADS TO PREVENT INSECT BREEDING."
3090630,"TAQUERIA MISANTLA VER, INC","TAQUERIA MISANTLA VER, INC",Mobile Food Preparer,Risk 2 (Medium),2300 S THROOP ST,60608,2026-09-16,License,Pass w/ Conditions,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED SERVICE WINDOW WITH NO MESH PROTECTION. INSTRUCTED SERVICE WINDOWS MUST BE PROTECTED WITH SCREENS OF A SIZE NO LARGER THAN 16 MESH TO THE INCH AND MUST BE TIGHT- FITTING AND FREE OF BREAKS."
23771,THEODORE HERZL ELEMENTARY SCHOOL,THEODORE HERZL ELEMENTARY SCHOOL/FRAZIER CHARTER,School,Risk 1 (High),3711 W DOUGLAS BLVD,60623,2026-09-16,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVEDC 1/4"" GAP AT BOTTOM OF ENTRANCE/EXIT DOORS. INSTRUCTED MANAGER TO SEAL ALL OUTER OPENINGS ON DOORS TO PREVENT PEST ENTRY."
25911,YATES ELEMENTARY SCHOOL,YATES ELEMENTARY SCHOOL,School,Risk 1 (High),1839 N Richmond,60647,2026-09-16,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED NORTH SIDE EXIT DOORS WITH GAP OPENING APPROX:1/4 INCH OPENING AT BOTTOM OF SAID DOORS LEADING OUT TO THE PARKING LOT.INSTRUCTED TO MAKE DOORS TIGHT FITTING ALL ACROSS THE BOTTOMS TO PREVENT PEST ENTRY AND TO MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: INSTRUCTED TO REMOVE GLUE BOARDS WITH DEAD INSECTS ON FLOORS BEHIND THE COOKING EQUIPMENTS IN THE KITCHEN PREP AREA AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND ORGANIZE THE STORAGE CLOSET I"
1980651,Irene C. Hernandez Middle School,Irene C. Hernandez Middle School,School,Risk 1 (High),3510 W 55th ST,60632,2026-09-16,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OPENINGS AT BASE OF LEFT EXIT DOORS OF REAR EXIT DOORS 5 AND 9. INSTRUCTED TO SEAL ALL OUTER OPENINGS TO PREVENT PEST ENTRANCE."
1878486,NORTH LAWNDALE SCHOOL COLLEGE PREP,NORTH LAWNDALE COLLEGE PREP,School,Risk 1 (High),1615 S CHRISTIANA,60623,2026-09-16,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/4"" GAP AT BOTTOM OF NORTHWEST DOOR. INSTRUCTED MANAGER TO SEAL ALL OUTER OPENINGS ON DOORS TO PREVENT PEST ENTRY."
3100317,VICEROY CLUB,VICEROY CLUB CAFE,Restaurant,Risk 1 (High),5750 N CALIFORNIA AVE,60659,2026-09-16,License,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: NOTED NO PEST CONTROL LOG BOOK AVAILABLE AT THE TIME OF INSPECTION AS REQUIRED BY CITY CODE. INSTRUCTED TO HAVE A COMPLETE PEST CONTROL LOG BOOK WITH A LICENSED PEST CONTROL COMPANY UPON BEING RE-INSPECTED.PRIORITY FOUNDATION. VIOLATION #7-38-020(A). NO CITATION ISSUED."
2917787,SNK,SNK,Grocery Store,Risk 1 (High),3601 W GRAND AVE,60651,2026-09-16,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED DAMAGED WEATHER-STRIP AT BOTTOM OF THE REAR EXIT DOOR WITH GAP OPENING. INSTRUCTED TO PEST PROOF SAID DOOR AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED STICKY FLY TRAP ROLLS HANGING ABOVE FRONT PREP/DISHWASHING AREA.INSTRUCTED TO REMOVE AND MAINTAIN."
26041,KIPP ASCEND PRIMARY SCHOOL,KIPP ASCEND PRIMARY SCHOOL,School,Risk 2 (Medium),1440 S Christiana ST,60623,2026-09-16,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OVER 30 MICE DROPPINGS ON FLOOR ALONG WALLS BEHIND REACH-IN COOLER AND FREEZER IN DINING AREA, OVER 30 MICE DROPPINGS SCATTERED ON FLOOR INSIDE PRE-K CLOSET 110, OVER 30 MICE DROPPINGS SCATTERED ON FLOOR AND INSIDE BOXES IN PRE-K CLOSET 111. INSTRUCTED MANAGER TO CALL AN EXTERMINATOR FOR SERVICE, CLEAN AND SANITIZE ALL AREAS. PRIORITY FOUNDATION 7-38-020(A)"
3099868,"SHOP & SAVE ASHLAND, INC",SHOP & SAVE ASHLAND,Grocery Store,Risk 3 (Low),8211 S ASHLAND AVE,60620,2026-09-15,License,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OPENINGS AROUND THE FRONT DOOR AT THE TOP, BOTTOM AND SIDES. MUST PROPERLY SEAL TO PREVENT POSSIBLE ENTRY POINT FOR PESTS."
3086638,BUFFALO WILD WINGS,BUFFALO WILD WINGS,Restaurant,Risk 1 (High),2112 N CLYBOURN AVE,60614,2026-09-15,License,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: ALL DINING ROOM ENTRANCE/EXIT DOORS WITH AN OPEN 1/2 GAP ON THE BOTTOM OF THE DOORS. INSTRUCTED TO PROVIDE A TIGHT FITTING SEAL ON THE BOTTOM THRESHOLD."
3759938,VETERANS MEMORIAL CAMPUS,TORRES ELEMENTARTY/ZIZUMBO ELEMENTARY/GARCIA HIGH,School,Risk 1 (High),4601 S KILDARE AVE,60632,2026-09-15,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OPENING IN MIDDLE OF DOUBLE DOORS OF DOOR 4 IN LUNCHROOM. INSTRUCTED TO SEAL ALL OUTER OPENINGS TO PREVENT PEST ENTRANCE."
23312,JOSEPH GARY SCHOOL/MODULAR/ANNEX,JOSEPH GARY SCHOOL/MODULAR/ANNEX,School,Risk 1 (High),3737 W 31st St (3000S),60623,2026-09-15,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/4"" GAP AT BOTTOM OF NORTH EXIT DOORS. INSTRUCTED MANAGER TO SEAL ALL OUTER OPENINGS ON DOORS TO PREVENT PEST ENTRY."
41041,FRANCISCO I. MADERO MIDDLE SCHOOL,FRANCISCO I. MADERO MIDDLE SCHOOL,School,Risk 1 (High),3202 W 28th St,60623,2026-09-15,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/4"" GAP BETWEEN COURTYARD DOORS IN DINING AREA, 1/4"" GAP AT BOTTOM OF GYM EXIT DOOR. INSTRUCTED MANAGER TO SEAL ALL OUTER OPENINGS ON DOORS TO PREVENT PEST ENTRY."
3100164,MARINA BAY INC.,MARINA BAY INC.,Restaurant,Risk 1 (High),2060 S LUMBER ST,60616,2026-09-14,License,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FOUND THE OUTER DOORS NOT RODENT PROOFED AS REQUIRED; INSTRUCTED TO RODENT PROOF OUTER DOORS LEADING TO MARKET AREA AND FRONT ENTRANCE FROM PARKING LOT."
2856827,MANSUETO HIGH SCHOOL,MANSUETO HIGH SCHOOL,School,Risk 1 (High),2911 W W 47TH ST,60632,2026-09-14,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OPENING AT BASE OF PREP AREA REAR EXIT DOOR, OBSERVED OPENING AT BASE OF EASTSIDE RIGHT EXIT DOOR IN GYM/LUNCHROOM AND OBSERVED OPENINGS AT BASE OF LEFT AND RIGHT NORTHSIDE EXIT DOORS IN GYM/LUNCHROOM. INSTRUCTED TO SEAL ALL OUTER OPENINGS TO PREVENT PEST ENTRANCE."
2405266,NIGERIAN KITCHEN INCORPORATED,NIGERIAN KITCHEN,Restaurant,Risk 1 (High),4447 N BROADWAY,60640,2026-09-14,Complaint,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: NOTED OVER 100 RAT DROPPINGS AT THE FOLLOWING AREAS: --OVER 15 ON FLOOR ALONG WALL BASE UNDERNEATH SHELVES AT THE KITCHEN PREP AREA. --OVER 50 ON THE STAIR WAY LEADING TO THE BASEMENT FOOD SRY STORAGE. --OVER 35 ON FLOOR ALONG WALL BASE AT THE BASEMENT FOOD DRY STORAGE AREA.  INSTRUCTED TO DETAIL CLEAN AND SANITIZE AFFECTED AREAS, ELIMINATE PEST ACTIVITY. INSTRUCTED TO CONSULT WITH PEST CONTROL COMPANY AND HAVE PREMISES TREATED. PRIORITY VIOLATION #7-38-020(A). CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: INA"
2215643,CENTRO NUESTRO CHILD DEVELOPMENT CENTER,CENTRO NUESTRO CHILD DEVELOPMENT CENTER,Children's Services Facility,Risk 1 (High),3222 W DIVISION ST,60651,2026-09-14,License,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED GAP OPENING AT BOTTOM CENTER OF REAR EXIT DOORS.INSTRUCTED TO MAKE DOOR TIGHT FITTING ALL ACROSS THE BOTTOM TO PREVENT PEST ENTRY AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND ORGANIZE THE REAR STORAGE ROOM AND REMOVE UNNECESSARY ARTICLES DUE TO POTENTIAL PEST HARBORAGE AND ALL OTHER NEED ITEMS MUST BE ELEVATED OFF THE FLOOR AT LEAST 6"" INCHES TO FACILITATE CLEANING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING CEILING TILES"
25451,JOHN SPRY COMMUNITY SCHOOL,JOHN SPRY COMMUNITY SCHOOL,School,Risk 1 (High),2400 S Marshall,60623,2026-09-14,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OVER 100 MICE DROPPINGS SCATTERED ON SHELVES AND FLOOR ALONG WALLS AND CORNERS IN PRE-K B9 CLASSROOM AND STORAGE CLOSET, ON SHELVES AND FLOOR ALONG WALLS AND CORNERS IN PRE-K B6, INSIDE CUBBIES IN HALLWAY NEAR PRE-K CLASSROOMS, ON FLOOR ALONG WALLS AND CORNERS IN LUNCHROOM. INSTRUCTED MANAGER TO CALL AN EXTERMINATOR FOR SERVICE, CLEAN AND SANITIZE ALL AREAS. PRIORITY FOUNDATION 7-38-020(A) | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/4"" GAP AT BOTTOM OF FRONT ENTRANCE DOOR AND EXIT #6. INSTRUCTED MANAGER T"
49051,SIMPSON ACADEMY,SIMPSON ACADEMY,School,Risk 1 (High),1321 S Paulina (1700W),60608,2026-09-14,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: GLUE BOARDS IN NEED OR REPLACING WHEN DIRTY WITH DUST AND DEBRIS. INSTRUCTED TO CORRECT AND MAINTAIN"
23641,"Smith, Wendell","Smith, Wendell",School,Risk 1 (High),744 E 103rd St (10300S),60628,2026-09-14,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FOUND DOOR #10 WITH A 1/4"" GAP UNDERNEATH AND ITS NOT RODENT/INSECT PROOFED. INSTRUCTED TO MAKE DOOR RODENT/INSECT PROOFED. MAINTAIN SAME."
2042643,TELPOCHCALLI,TELPOCHCALLI (CPS),School,Risk 1 (High),2832 W 24TH ST,60623,2026-09-14,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OVER 100 MICE DROPPINGS SCATTERED ON CHAIR, FLOOR, TABLE AND WINDOW SILL IN KITCHEN STAFF LOCKER ROOM/WASHROOM, ON FLOOR ALONG WALLS AND CORNERS IN MECHANICAL ROOM 229C, ON BOTTOM OF MULTI-USE EQUIPMENT SHELVING UNITS IN DRY STORAGE AREA, INSIDE BOTTOM SURFACES OF COOKING EQUIPMENT, ROLLING CARTS, STAND MIXER, ON EXTERIOR SURFACES OF ELECTRICAL OUTLETS AND PIPING, ON FLOOR ALONG WALLS AND CORNERS IN KITCHEN. INSTRUCTED MANAGER TO CALL AN EXTERMINATOR FOR SERVICE, CLEAN AND SANITIZE ALL AREAS. PRIORITY FOUNDATION 7-38-020(A)"
29151,MARIA SAUCEDO ELEMENTARY,MARIA SAUCEDO SCHOLASTIC ACADEMY,School,Risk 1 (High),2850 W 24th St,60623,2026-09-14,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OVER 100 MICE DROPPINGS SCATTERED ON CHAIR, FLOOR, TABLE AND WINDOW SILL IN KITCHEN STAFF LOCKER ROOM/WASHROOM, ON FLOOR ALONG WALLS AND CORNERS IN MECHANICAL ROOM 229C, ON BOTTOM OF MULTI-USE EQUIPMENT SHELVING UNITS IN DRY STORAGE AREA, INSIDE BOTTOM SURFACES OF COOKING EQUIPMENT, ROLLING CARTS, STAND MIXER, ON EXTERIOR SURFACES OF ELECTRICAL OUTLETS AND PIPING, ON FLOOR ALONG WALLS AND CORNERS IN KITCHEN. INSTRUCTED MANAGER TO CALL AN EXTERMINATOR FOR SERVICE, CLEAN AND SANITIZE ALL AREAS. PRIORITY FOUNDATION 7-38-020(A)"
29211,ANNIE KELLER GIFTED SCHOOL,ANNIE KELLER GIFTED SCHOOL,School,Risk 1 (High),3020 W 108th St,60655,2026-09-14,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE REAR EXIT DOOR IN POOR REPAIR (GAP AT THE BOTTOM) AND THE GROUND PLATE IS ALSO BROKEN. MUST REPAIR TO PREVENT POSSIBLE ENTRY POINT FOR PESTS."
1878481,Sullivan House High School,SULLIVAN HOUSE HIGH,School,Risk 2 (Medium),8164 S South Chicago AVE,60617,2026-09-14,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-501.111 OBSERVED EVIDENCE OF PEST ACTIVITY ON SITE. OBSERVED ABOUT 10 RODENT DROPPINGS IN THE CORNER BETWEEN THE WALL AND THE 2 DOOR REFRIGERATOR BY THE ENTRANCE OF THE REAR FOOD PREP AREA. ALSO OBSERVED ABOUT 10 RODENT DROPPINGS AROUND THE GREASE TRAP BY THE 3 COMPARTMENT SINK. INSTRUCTED TO ELIMINATE PEST ACTIVITY, CLEAN AND SANITIZE AFFECTED AREAS AND RECOMMENDED CONTACTING PEST CONTROL FOR A SERVICE. PRIORITY FOUNDATION 7-38-020(A)."
