camis,restaurant,cuisine,building,street,borough,zip,phone,inspected,inspection_type,violation_code,violation,critical,action,score,grade
41543885,THE DUTCH,American,131,SULLIVAN STREET,Manhattan,10012,3479876748,2026-09-09,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,26,Z
41564778,MELA'S CAFE,Spanish,1735,WASHINGTON AVENUE,Bronx,10457,7189012181,2026-09-09,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,12,A
41608854,GAL BI MA EUL,Korean,194-03,NORTHERN BOULEVARD,Queens,11358,7188192171,2026-09-09,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,52,
41653059,MAMA'S RESTAURANT JAMAICAN AND AMERICAN FOOD,Caribbean,2347,2 AVENUE,Manhattan,10035,2124104210,2026-09-09,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50002106,PYRAMIDS HOOKAH AND BAR,American,40-19,BELL BOULEVARD,Queens,11361,7187466524,2026-09-09,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
50002534,THE DRUNKEN MUNKEY,Indian,338,EAST 92 STREET,Manhattan,10128,6468468986,2026-09-09,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,53,Z
50002639,STARBUCKS,Coffee/Tea,515,MADISON AVENUE,Manhattan,10022,2126159700,2026-09-09,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,13,A
50003371,COCO FRESH TEA & JUICE,"Juice, Smoothies, Fruit Salads",79,DIVISION STREET,Manhattan,10002,9177700044,2026-09-09,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,13,
50005783,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Caribbean,223-24,SOUTH CONDUIT AVENUE,Queens,11413,7183411600,2026-09-09,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,80,
50017524,MESS HALL,American,2194,FRDRCK DGLS BLVD,Manhattan,,6466923098,2026-09-09,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,10,A
50039399,SUBWAY,Sandwiches,5719,FLATLANDS AVENUE,Brooklyn,11234,7188129864,2026-09-09,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,20,
50055495,I X CAFE,Mexican,43,LINCOLN ROAD,Brooklyn,11225,3475336920,2026-09-09,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,22,
50060424,THE CRAFTSMAN,American,3155,BROADWAY,Manhattan,10027,2129330602,2026-09-09,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,25,Z
50063030,BIG APPLE CHINESE RESTAURANT,Chinese,114-07,BEACH CHANNEL DRIVE,Queens,11694,7184747711,2026-09-09,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,30,
50063183,SIENA CAFE,Italian,1580,3 AVENUE,Manhattan,10128,2124105588,2026-09-09,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,42,
50066240,KO SUSHI,Japanese,1329,2 AVENUE,Manhattan,10021,2124391678,2026-09-09,Cycle Inspection / Initial Inspection,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,45,
50068389,HOUSE OF HOOKAH,Middle Eastern,39-07,BELL BOULEVARD,Queens,11361,3479894640,2026-09-09,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,59,
50071314,HANG CHOU,Chinese,2266,3 AVENUE,Manhattan,10035,2125345266,2026-09-09,Cycle Inspection / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,58,
50072524,THE HOT SPOT BBQ & GRILL,Barbecue,17908,UNION TPKE,Queens,11366,7189692200,2026-09-09,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,23,
50076470,TARTINERY,American,90,PARK AVENUE,Manhattan,10016,2123005838,2026-09-09,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50081412,GAZALA'S,Mediterranean,447,AMSTERDAM AVENUE,Manhattan,10024,2127871800,2026-09-09,Cycle Inspection / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,28,Z
50087362,SOBOL,"Juice, Smoothies, Fruit Salads",284,NEW DORP LANE,Staten Island,10306,7186676265,2026-09-09,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,22,
50094977,THE OASIS CAFE,Coffee/Tea,196-30,NORTHERN BOULEVARD,Queens,11358,7183574843,2026-09-09,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,53,
50099096,FOO AN CHINESE FOOD,Chinese,223-18,SOUTH CONDUIT AVENUE,Queens,11413,7182762725,2026-09-09,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,28,
50121525,SUNRISE BAKERY,Chinese,316,KINGS HIGHWAY,Brooklyn,11223,3477024213,2026-09-09,Cycle Inspection / Compliance Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,26,
50124776,FRANCHIA VEGAN CAFE,Asian/Asian Fusion,12,PARK AVENUE,Manhattan,10016,2122131001,2026-09-09,Cycle Inspection / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,62,Z
50133339,FIGO IL GELATO ITALIANO,Frozen Desserts,29-02,23 AVENUE,Queens,11105,3477384647,2026-09-09,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50133767,IL MATTONE,Pizza,49,BEACH STREET,Manhattan,10013,2129644623,2026-09-09,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,23,
50135183,DONNA,Latin American,7,CORNELIA STREET,Manhattan,10014,3059349205,2026-09-09,Cycle Inspection / Initial Inspection,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,17,
50138019,"CROWN FRIED CHICKEN, PIZZA & COFFEE SHOP",Pizza,3149,FULTON STREET,Brooklyn,11208,9173613272,2026-09-09,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,56,Z
50146923,SUKH,Thai,723,FULTON STREET,Brooklyn,11217,3473242114,2026-09-09,Cycle Inspection / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,30,Z
50164500,Q.C CAMPUS EATS / TAIWANESE YUMMY / PAN ASIAN FOOD,Asian/Asian Fusion,64-36,KISSENA BOULEVARD,Queens,11367,3473485370,2026-09-09,Cycle Inspection / Reopening Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Establishment re-closed by DOHMH.,43,
50166385,TAQUERIA Y PALETERIA,Latin American,1630,SAINT NICHOLAS AVENUE,Manhattan,10040,6463987837,2026-09-09,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,22,N
50166757,BLUE PEAK VILLA / ZHONG GUO XIAO LONG BAO,Chinese,175,EAST HOUSTON STREET,Manhattan,10002,9177171976,2026-09-09,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,66,N
50168829,Z-GRILL SALAD PIZZA,American,803,8 AVENUE,Manhattan,10019,2123151659,2026-09-09,Pre-permit (Operational) / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,83,N
50171199,ROYAL COFFEE,Coffee/Tea,2263,BROADWAY,Manhattan,10024,2025685395,2026-09-09,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,34,
50179547,IKKO HIBACHI SUSHI ASIAN BISTRO,Japanese,3938,EAST TREMONT AVENUE,Bronx,10465,3476215052,2026-09-09,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,43,N
50181152,GANG YUE,Chinese,60-10,KISSENA BOULEVARD,Queens,11355,7189398286,2026-09-09,Pre-permit (Operational) / Compliance Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,25,
50183578,DEAR COFFEE,Coffee/Tea,170,WEST 23 STREET,Manhattan,10011,9177030407,2026-09-09,Pre-permit (Operational) / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,21,N
50184826,SAUCY MEXICAN GRILL,Mexican,184-22,HORACE HARDING EXPRESSWAY,Queens,11365,3478284598,2026-09-09,Pre-permit (Operational) / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,52,N
50189038,JO HAUS,Other,1762,1 AVENUE,Manhattan,10128,9295520588,2026-09-09,Pre-permit (Non-operational) / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,50,N
50189968,TOASTIQUE BRYANT PARK NYC,"Juice, Smoothies, Fruit Salads",445,5 AVENUE,Manhattan,10016,2124015577,2026-09-09,Pre-permit (Operational) / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,55,N
41007946,FRAMES BOWLING LOUNGE,American,625,8 AVENUE,Manhattan,10018,2122686909,2026-09-08,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,29,
41053329,GOLDEN CHICKEN,Chicken,179-44,HILLSIDE AVENUE,Queens,11432,7182064669,2026-09-08,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,21,
41275242,MCDONALD'S,Hamburgers,262,CANAL STREET,Manhattan,10013,2129415823,2026-09-08,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,21,
41315553,MEDINA FRIED CHICKEN & INDIAN CUISINE,Chicken,76-17,101 AVENUE,Queens,11416,7186590652,2026-09-08,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,19,Z
41406985,CINEMART CINEMAS,American,106-05,METROPOLITAN AVENUE,Queens,11375,7182612043,2026-09-08,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,26,
41565555,HARVEST KITCHEN,Latin American,269,COLUMBUS AVENUE,Manhattan,10023,6468700810,2026-09-08,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,22,
41620241,THE COMMONS CHELSEA,Coffee/Tea,128,7 AVENUE,Manhattan,10011,2129299333,2026-09-08,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,34,
50016892,THE FOLLY,American,92,WEST HOUSTON STREET,Manhattan,10012,6467264740,2026-09-08,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,17,Z
50036244,MAMMA LORNA'S RESTAURANT,Caribbean,3007,EASTCHESTER ROAD,Bronx,10469,3477367995,2026-09-08,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50039443,MOTIN SPICE AND SWEETS,Bangladeshi,1215,LIBERTY AVENUE,Brooklyn,11208,7182777778,2026-09-08,Cycle Inspection / Compliance Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,24,
50050386,PANDA EXPRESS,Chinese,835,3 AVENUE,Manhattan,10022,2123552821,2026-09-08,Cycle Inspection / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,12,A
50058588,SWEETGREEN,Salads,66,E 55TH ST,Manhattan,10022,6466785545,2026-09-08,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,21,Z
50063522,CECCONI'S,Italian,55,WATER STREET,Manhattan,10041,3477241697,2026-09-08,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,24,
50071497,THE STANDARD BIERGARTEN / THE STANDARD GRILL / THE STANDARD SODA SHOP,American,848,WASHINGTON STREET,Manhattan,10014,9175093129,2026-09-08,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,19,
50081242,CAFE ALULA,Sandwiches/Salads/Mixed Buffet,252,FRANKLIN STREET,Brooklyn,11222,7183166161,2026-09-08,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,23,
50081485,BUENA VISTA RESTAURANT & BAR,Spanish,536,9 AVENUE,Manhattan,10018,6463356310,2026-09-08,Cycle Inspection / Reopening Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Establishment re-closed by DOHMH.,27,
50098630,JUICE HEALTHY FOOD AND DRINKS/ AL HORNO,"Juice, Smoothies, Fruit Salads",156,EAST 33 STREET,Manhattan,10016,2128821611,2026-09-08,Cycle Inspection / Compliance Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,23,
50105147,ANTOJITOS BK,Caribbean,412,45 STREET,Brooklyn,11220,3473350677,2026-09-08,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,17,
50106428,BODHI VILLAGE,Vegetarian,136-20,BOOTH MEMORIAL AVENUE,Queens,11355,6467043811,2026-09-08,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,27,Z
50123278,PHIL & SONS ON MAIN,Pizza,57-29,MAIN STREET,Queens,11355,5167797321,2026-09-08,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
50136699,KOON TASTE OF SIAM,Thai,230,7 AVENUE,Manhattan,10011,9296351655,2026-09-08,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,52,
50141117,VPHO PIZZERIA & RESTAURANT,Pizza,2004,WILLIAMSBRIDGE ROAD,Bronx,10461,3479817937,2026-09-08,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,28,
50142601,RAKU HELL'S KITCHEN,Japanese,776,9 AVENUE,Manhattan,10019,6467444414,2026-09-08,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,36,
50144254,NEW NO. 1 CHINA WOK,Chinese,64,WEST KINGSBRIDGE ROAD,Bronx,10468,7189338765,2026-09-08,Cycle Inspection / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,26,Z
50144418,KENNY'S ROLL HOUSE,Japanese,36-30,UNION STREET,Queens,11354,3473684347,2026-09-08,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,29,
50146118,CASA MELANIA,Latin American,55-61,58 STREET,Queens,11378,6467083752,2026-09-08,Cycle Inspection / Reopening Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Establishment re-closed by DOHMH.,52,N
50146648,BUSY BEE COFFEE,Coffee/Tea,35-20,LEAVITT STREET,Queens,11354,3477646034,2026-09-08,Cycle Inspection / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,20,Z
50149370,THE OVEN'S SLICE,Pizza,84,RIVINGTON STREET,Manhattan,10002,9176649679,2026-09-08,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50151369,CHIMOLI COCINA,Mexican,3398,EAST TREMONT AVENUE,Bronx,10461,9174201676,2026-09-08,Pre-permit (Operational) / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
50158071,RESTAURANTE & PANADERIA EL QUETZALITO,Latin American,4617,5 AVENUE,Brooklyn,11220,3473842827,2026-09-08,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,22,Z
50161868,DUMPLING XI,Chinese,37-02,PRINCE STREET,Queens,11354,9294024198,2026-09-08,Pre-permit (Operational) / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,42,Z
50162320,HUGE THAI,Thai,157,COURT STREET,Brooklyn,11201,8016902216,2026-09-08,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,24,
50168310,DANTE APERITIVO,Italian,51,BANK STREET,Manhattan,10014,3477075656,2026-09-08,Pre-permit (Operational) / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,40,N
