permit,job_filing,filing_reason,issued,approved,expires,work_type,job_description,estimated_cost,house,street,borough,zip,contractor_license_type,contractor_business,contractor_address,owner_business,owner_city,owner_state,status
B01196131-I1-GC,B01196131-I1,Initial Permit,2026-09-10,2026-08-17,2027-01-07,General Construction,"CONVERTING A 2-FAMILY TO 3 STORY AND A CELLAR TO A 8-DWELLING 4 STORY AND A CELLAR, INCLUDING PARTIAL DEMOLITION, HORIZONTAL AND VERTICAL ENLARGEMENT.",2765982,68,QUINCY STREET,Brooklyn,11238,GC,YAFE MEOD CORP,17 BARSTOW ROAD .SUITE 401,MINERVA,,,Permit Issued
B01196131-S2-SE,B01196131-S2,Initial Permit,2026-09-10,2025-05-03,2027-01-07,Support of Excavation,HEREWITH FILING SOE PLANS OF PROP. 4 STORY NEW BLDG. THE SOE INVOLVES INSTALLATION OF SOLDIER PILES WITH TIMBER LAGGING AND 1:1 EXCAVATION. THIS JOB IS FILED IN CONJUNCTION WITH DOB JOB #B01196131-S2,50000,68,QUINCY STREET,Brooklyn,11238,GC,YAFE MEOD CORP,17 BARSTOW ROAD .SUITE 401,MINERVA,,,Permit Issued
B01217320-S2-EW-SP,B01217320-S2,Initial Permit,2026-09-10,2025-06-25,2027-03-12,Sprinklers,"HEREBY FILING TO RELOCATE SPRINKLER HEADS IN APARTMENT 1402/1403. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",9000,265,STATE STREET,Brooklyn,11201,F,ZAPAS CONSTRUCTION CORP,2457 49TH STREET,,,,Permit Issued
B01254856-S5-FO-EA,B01254856-S5,Initial Permit,2026-09-10,2026-09-04,2026-11-16,Foundation,Foundation plans filed in conjunction with GC application # B01254856-i1,250000,25,KOSSUTH PLACE,Brooklyn,11221,GC,IVAN ROSA LLC,142 MINEOLA AVE.SUITE 3D,UNITED 2441 LLC,,,Permit Issued
B01262411-S1-PL,B01262411-S1,Initial Permit,2026-09-10,2026-02-18,2026-10-30,Plumbing,"HEREWITH TO PROPOSE PL SYSTEMS, INCONJUNCTION WITH DOB# B01262411-I1",58000,373,3 STREET,Brooklyn,11215,P,RRP PLUMBING CORP,106-07 NORTHERN BOULEVARD,MINERVA,,,Permit Issued
B01270332-I1-GC-CX,B01270332-I1,Initial Permit,2026-09-10,2026-02-13,2026-09-24,Structural,THIS APPLICATION IS BEING FILED FOR GENERAL CONSTRUCTION & STRUCTURAL WORK TO CONVERT EXISTING 3-FAMILY RESIDENTIAL BUILDING TO A 1-FAMILY RESIDENCE AND ADDRESSING OATCH/ECB VIOLATION: 39150275X,625000,198,HAWTHORNE STREET,Brooklyn,11225,GC,KAIETEUR CONSTRUCTION INC,"110-16 LIBERTY AVENUE, SUITE 201",PR,,,Permit Issued
B01278224-S5-PL,B01278224-S5,Initial Permit,2026-09-10,2026-09-09,2026-11-30,Plumbing,SUBSEQUENT PLUMBING APPLICATION FILED HEREWITH.,2500,726,MANHATTAN AVENUE,Brooklyn,11222,P,TARGET PIPING NY LLC,1127 UTICA AVENUE,PR,,,Permit Issued
B01279882-S3-ST,B01279882-S3,Initial Permit,2026-09-10,2026-07-14,2027-01-07,Structural,FILING ST PLANS TO FACILITATE STRUCTURAL DESIGN HORIZONTAL ENLARGEMENT. CHANGE OF USE: 3 FAMILY TO 1 FAMILY.,99000,362,CLINTON STREET,Brooklyn,11231,GC,YAFE MEOD CORP,17 BARSTOW ROAD .SUITE 401,MINERVA,,,Permit Issued
B01281245-I1-GC,B01281245-I1,Initial Permit,2026-09-10,2025-09-25,2026-12-30,General Construction,"Full renovation of existing library. New floor, new bookshelves/millwork, adding soffits. Slight modification to existing ductwork. Additional electrical receptacles added throughout.",415927,3117,AVENUE W,Brooklyn,11229,GC,SKOS CONTRACTING LLC,837 POST AVE,NYC SCHOOL CONSTRUCTION AUTHORITY,,,Permit Issued
B01293173-I1-GC,B01293173-I1,Initial Permit,2026-09-10,2026-09-10,2026-10-04,General Construction,"INTERIOR RENOVATION WITH PARTITION WORKS AND INSTALL NEW TABLES AND CHAIRS FOR FIRST FLOOR EXISTING RESTAURANT. INSTALL NEW FIRE WALLS AND FIRE DOORS FOR CELLAR PROTECTION OF OPENINGS IN FIRE WALLS. NO CHANGE OF USE, EGRESS OR OCCUPANCY.",283000,6423,20 AVENUE,Brooklyn,11204,GC,JIA WEI CONSTRUCTION INC,67-01 54TH AVENUE,PR,,,Permit Issued
B01295637-I1-GC,B01295637-I1,Initial Permit,2026-09-10,2026-06-04,2027-03-26,General Construction,APPLICATION FILED HEREWITH TO VERTICALLY AND HORIZONALLY ENLARGE AN EXISTING ONE-STORY BUILDING INTO A SIX STORY + PENTHOUSE SEVEN FAMILY RESIDENTIAL BUILDING,2665260,488,LAFAYETTE AVENUE,Brooklyn,11205,GC,RNH SERVICES INC,670 MYRTLE AVE STE 6366,Not Applicable,,,Permit Issued
B01297775-S4-PL,B01297775-S4,Initial Permit,2026-09-10,2026-01-08,2026-09-29,Plumbing,"Propose removal of gas boiler, replace gas fired HWH, install detention tank and storm system, sanitary and domestic piping and replace/ relocate plumbing fixtures as per plan, filed in conj. with GC # B01297775-I1.",109000,1756,86 STREET,Brooklyn,11214,P,CROSSFIELD PLBG.&HTG,122-17 18TH AVENUE,UNIVERSAL 168 INC,,,Permit Issued
B01305717-S2-MS,B01305717-S2,Initial Permit,2026-09-10,2026-07-01,2027-02-18,Mechanical Systems,MECHANICAL APPLICATION FILED IN CONJUNCTION WITH APPLICATION 320622714.MECHANICAL WORK FOR TENANT FIT-OUT AS PER PLAN.,105000,532,NEPTUNE AVENUE,Brooklyn,11224,GC,FIRST CNSTRCTION ZONE INC,"2765 WEST 5TH STREET, APT#10G",PR,,,Permit Issued
B01307176-I1-GC,B01307176-I1,Initial Permit,2026-09-10,2026-09-03,2026-11-30,General Construction,REnovation of two-family dwelling. Partition work. Kitchen and bathroom renovation. New rear porch. New windows at rear.,170400,228,JEFFERSON AVENUE,Brooklyn,11216,GC,CHATEL CONSTRUCTION CORP,1 HARDING CT,Not Applicable,,,Permit Issued
B01315432-S8-FN,B01315432-S8,Initial Permit,2026-09-10,2026-06-04,2026-12-29,Construction Fence,SUBSEQUENT FENCE APPLICATION FILED HEREWITH.,0,246,7 STREET,Brooklyn,11215,GC,ROGERS DEVELOPERS GRP LLC,311 ROGERS AVENUE,Bravon Capital LLC,,,Permit Issued
B01327889-I1-SH,B01327889-I1,Initial Permit,2026-09-10,2026-09-10,2026-12-09,Sidewalk Shed,"INSTALLATION OF TEMPORARY HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY. SIDEWALK SHED SHALL COMPLY WITH CHAPTER #33 OF 2022 THE NYC BUILDING CODE. LIVE LOAD 300PSF.",1000,910,BEDFORD AVENUE,Brooklyn,11205,GC,J & G CONSTRUCTION SVCS,125-05 101ST AVENUE,J & G CONSTRUCTION SRVCS,,,Permit Issued
B01336244-I1-GC-CX,B01336244-I1,Initial Permit,2026-09-10,2026-04-22,2026-10-18,General Construction,"TO PROPOSE INTERIOR RENOVATION OF COMMERCIAL SPACE AT 001FL AND CELLAR WITH GENERAL CONSTRUCTION WORK TYPE; TO MODIFY KITCHEN EXHAUST HOOD AND INSTALL SPLIT UNITS WITH MECHANICAL WORK AS PER PLAN FILED HEREWITH. NO CHANGE OF USE, EGRESS OR ",100000,631,FRANKLIN AVENUE,Brooklyn,11216,GC,KALE CONSTRUCTION INC,145-12 24 AVE,Not Applicable,,,Permit Issued
B01336532-I1-FN,B01336532-I1,Initial Permit,2026-09-10,2026-02-04,2026-12-10,Construction Fence,PROPOSED CONSTRUCTION FENCE FILED HEREWITH.,1000,1839,63 STREET,Brooklyn,11204,GC,KAUFMAN GROUP INC,3 TEVERYA WAY #301,Not Applicable,,,Permit Issued
B01341650-S3-PL,B01341650-S3,Initial Permit,2026-09-10,2026-07-06,2026-12-03,Plumbing,PLUMBING APPLICATION FILED HEREWITH IN CONJUNCTION TO NB APPLICATION B01341650-I1,0,114,ADELPHI STREET,Brooklyn,11205,P,"QUALITY PIPING, INC",1027 CHURCH AVENUE,Not Applicable,,,Permit Issued
B01341650-S5-EW-SP,B01341650-S5,Initial Permit,2026-09-10,2026-03-23,2026-12-03,Sprinklers,SPRINKLER APPLICATION FILED HEREWITH IN CONJUNCTION TO NB APPLICATION B01341650-I1,0,114,ADELPHI STREET,Brooklyn,11205,F,"QUALITY PIPING, INC",1027 CHURCH AVENUE,Not Applicable,,,Permit Issued
B01347514-I1-ST,B01347514-I1,Initial Permit,2026-09-10,2026-01-26,2026-09-27,Structural,"emergency temporary shoring to cracked stone column at building portico entrance as per plans filed herewith. no change to use, egress or occupancy.",25000,70,REMSEN STREET,Brooklyn,11201,GC,TRIBUTE RESTORATION INC,231 NORMAN STREET#206,,,,Permit Issued
B01348242-I1-GC,B01348242-I1,Initial Permit,2026-09-10,2026-09-02,2026-12-02,General Construction,(PLEASE ASSIGN TO DEV HUB) PROPOSED NEW 13 STORY 94 UNIT RESIDENTIAL BUILDING,0,461,TROY AVENUE,Brooklyn,11203,GC,INNOVATIVE CONSTR NYC LLC,"130 LEE AVENUE, SUITE 431",Grun Group LLC,,,Permit Issued
B01348242-S4-SE,B01348242-S4,Initial Permit,2026-09-10,2026-03-24,2026-12-02,Support of Excavation,SOE SPECIFICATIONS FILED IN CONJUNCTION WITH GC APPLICATION JOB #B01348242-I1,0,461,TROY AVENUE,Brooklyn,11203,GC,INNOVATIVE CONSTR NYC LLC,"130 LEE AVENUE, SUITE 431",Grun Group LLC,,,Permit Issued
B01349788-S3-EW-SP,B01349788-S3,Initial Permit,2026-09-10,2026-06-28,2026-11-30,Sprinklers,SPRINKLER SPECIFICATIONS FILED IN CONJUNCTION WITH GC APPLICATION B01349788-I1,0,159,NEWPORT STREET,Brooklyn,11212,F,TARGET PIPING NY LLC,1127 UTICA AVENUE,Not Applicable,,,Permit Issued
B01356877-I1-FN,B01356877-I1,Initial Permit,2026-09-10,2026-03-05,2026-12-12,Construction Fence,herewith filing construction fence as per plans,6500,54,GREENE AVENUE,Brooklyn,11238,GC,KORK INC,2755 EAST 63RD STREET,Not Applicable,,,Permit Issued
B01358370-S2-MS,B01358370-S2,Initial Permit,2026-09-10,2026-08-05,2027-05-05,Mechanical Systems,"This subsequent filing is being filed for the mechanical work at the subject premises. There are no change in use, egress or occupancy under this filing.",96000,163,PROSPECT PLACE,Brooklyn,11238,GC,BLACK SQUARE BUILDERS COR,393 VAN DUZER STREET,Not Applicable,,,Permit Issued
B01358655-I1-GC,B01358655-I1,Initial Permit,2026-09-10,2026-03-12,2026-11-22,General Construction,FACADE REPAIRS NO CHANGE IN USE EGRESS OR OCCUPANCY,300000,15,LAFAYETTE AVENUE,Brooklyn,11217,GC,JEPOL INDUSTRIAL ROPE ACC,60-80 60TH LANE,"C/O ROSE ASSOCIATES, INC.",,,Permit Issued
B01359647-S3-FO,B01359647-S3,Initial Permit,2026-09-10,2026-08-14,2027-02-20,Foundation,Creating foundation design for 2 1/2 story horizontal extension. Foundation work in conjunction with GC B01359647-I1.,18000,1160,EAST 9 STREET,Brooklyn,11230,GC,OVADIA CONSTRUCTION GROUP,1472 EAST 5 STREET,Not Applicable,,,Permit Issued
B01365727-S1-PL,B01365727-S1,Initial Permit,2026-09-10,2026-07-02,2026-10-01,Plumbing,Remove existing pharmacy sink and install new pharmacy sink at relocated location. Relocate existing undercounter water filtration system,6000,150,COURT STREET,Brooklyn,11201,P,STALWART PLUMBING CORP,59-24 57TH STREET,ELY MGT LLC,,,Permit Issued
B01383497-S4-ST,B01383497-S4,Initial Permit,2026-09-10,2026-06-12,2026-12-04,Structural,Structural job filed in conjunction with ALTCO work to convert Warehouse UG 16 to Production Studio UG VIII. ST work to reinforce existing steel framing at 2nd floor.,80000,251,MONTROSE AVENUE,Brooklyn,11206,GC,COPPERMINE CONSTRUCTION *,275 CONOVER STREET,Not Applicable,,,Permit Issued
B01385268-S3-MS,B01385268-S3,Initial Permit,2026-09-10,2026-08-14,2027-01-02,Mechanical Systems,INSTALLATION OF NEW ROOFTOP PACKAGE UNITS & ERV UNIT ALONG WITH THE ASSOCIATED PIPING AND DUCTWORK AS PER THE DRAWINGS FILED HEREIN.,94500,54,FRANKLIN STREET,Brooklyn,11222,GC,HARROW NY INC,50-20 38TH STREET,DAX REAL ESTATE,,,Permit Issued
B01387227-I1-GC,B01387227-I1,Initial Permit,2026-09-10,2026-04-29,2027-03-20,General Construction,APPLICATION TO REDUCE NUMBER OF PARKING SPACES AND TO LEGALIZE 4TH FLOOR USE AND OCCUPANCY AS CLASSROOMS PER CHANGE OF USE/OCCUPANCY PERMITTED UNDER ABANDONED ALT-1 JOB NO. 321981922,1000,3002,FORT HAMILTON PARKWAY,Brooklyn,11218,GC,WESBUILT CONSTRUCTION MAN,1430 BROADWAY,IMMACULATE HEART OF MARY,,,Permit Issued
B01387227-S1-EA,B01387227-S1,Initial Permit,2026-09-10,2026-09-03,2027-03-20,Earth Work,EARTH WORK FOR REGRADING AND PLAYGROUND EQUIPMENT INSTALLATION .,500000,3002,FORT HAMILTON PARKWAY,Brooklyn,11218,GC,WESBUILT CONSTRUCTION MAN,1430 BROADWAY,IMMACULATE HEART OF MARY,,,Permit Issued
B01389296-I1-SF,B01389296-I1,Initial Permit,2026-09-10,2026-08-17,2027-02-04,Supported Scaffold,"INSTALLATION OF TEMPORARY CONSTRUCTION EQUIPMENT (SUPPORTED SCAFFOLD), RELATED JOB NUMBER B00952504-I1. NO CHANGE IN USE, OCCUPANCY OR EGRESS UNDER THIS APPLICATION.",1000000,400,PENNSYLVANIA AVENUE,Brooklyn,11207,GC,ROMA SCAFFOLDING INC,41-33 38TH STREET,NYC SCHOOL CONSTRUCTION AUTHORITY,,,Permit Issued
B01395726-S1-PL,B01395726-S1,Initial Permit,2026-09-10,2026-07-02,2027-04-30,Plumbing,Installation of three-piece bathroom on the second floor. Connecting to existing sanitary riser.,9250,1449,DEAN STREET,Brooklyn,11213,P,TMS & SON PLUMBING LLC,119 EAST 31 STREET,Not Applicable,,,Permit Issued
B01395893-I1-GC-CX,B01395893-I1,Initial Permit,2026-09-10,2026-08-17,2027-03-27,Foundation,RENOVATION AND MODIFICATION TO EXISTING ONE STORY ONE FAMILY BUILDING AND TO OBTAIN NEW CERTIFICATE OF OCCUPANCY FOR ONE FAMILY WITH HOME OCCUPANCY 417 SF.,140528,30,WEST END AVENUE,Brooklyn,11235,GC,ARKENSTONE BUILDERS INC,12 TAP COURT,PR,,,Permit Issued
B01402888-I1-PMM,B01402888-I1,Initial Permit,2026-09-10,2026-09-09,2027-02-04,Protection and Mechanical Methods,"INSTALLATION OF DEBRIS CHUTE AT 400 PENNSYLVANIA AVENUE - BROOKLYN, AS INDICATED ON PLANS. THERE WILL BE NO CHANGE IN THE USE, EGRESS, OR OCCUPANCY UNDER THIS APPLICATION. THIS JOB IS IN RELATION TO DOB JOB # B00952504.",10000,400,PENNSYLVANIA AVENUE,Brooklyn,11207,GC,ROMA SCAFFOLDING INC,41-33 38TH STREET,NYC SCHOOL CONSTRUCTION AUTHORITY,,,Permit Issued
B01404334-S2-EW-SP,B01404334-S2,Initial Permit,2026-09-10,2026-07-10,2026-12-31,Sprinklers,"BMH Minor Biplane: Plumbing and Sprinkler odifications to accommodate alterations for the Biplane Ultrasound suite in the existing Hospital as per plans filed herewith. No change to zoning, use, egress or occupancy.",500000,506,6 STREET,Brooklyn,11215,F,SIRINA FIRE PROT CORP,"450 7TH AVENUE, SUITE 506",NEW YORK PRESBYTERIAN,,,Permit Issued
B01405523-I1-GC,B01405523-I1,Initial Permit,2026-09-10,2026-06-16,2026-09-20,General Construction,FACADE REPAIR WHICH INCLUDES GRINDING AND POINTING AS PER PLANS @ EXPOSURE 1 AND EXPOSURE 4. SIDEWALK SHED SHALL BE FILED UNDER SEPARATE APPLICATION.,26800,803,EAST 49 STREET,Brooklyn,11203,GC,NADEEM AKHTAR,"900 AVENUE H, #6C",NSACONTRACTING CO,,,Permit Issued
B01407657-I1-FD,B01407657-I1,Initial Permit,2026-09-10,2026-08-06,2026-11-21,Full Demolition,Full demolition to a three story house,70000,1533,NEW YORK AVENUE,Brooklyn,11210,GC,MJH CONSTRUCTION CORP,"670 MYRTLE AVE, #6366",BS New York Properties LLC,,,Permit Issued
B01408009-I1-GC,B01408009-I1,Initial Permit,2026-09-10,2026-06-15,2026-10-24,General Construction,"Facade repairs as per plans. No change in use, egress, or occupancy.",86735,9511,SHORE ROAD,Brooklyn,11209,GC,C.C.C. RENOVATION INC,31-07 STARR AVENUE SUITE 1,NARROWS MANAGEMENT OF BAY RIDGE INC,,,Permit Issued
B01408170-I1-SG,B01408170-I1,Initial Permit,2026-09-10,2026-08-24,2026-10-31,Sign,Reskin existing awning with new applied vinyl graphics on existing frame. No structural modifications proposed.,1500,1103,CORTELYOU ROAD,Brooklyn,11218,S,NATIONAL SIGN & LIGHTING,148-27 GUY R BREWSTER BLVD,Not Applicable,,,Permit Issued
B01409991-S1-SH,B01409991-S1,Initial Permit,2026-09-10,2026-09-04,2026-12-09,Sidewalk Shed,INSTALLATION OF SIDEWALK SHED FOR PUBLIC PROTECTION DURING CONSTRUCTION WORK. FILED IN CONJUNCTION WITH JOB#B01409991-I1,15000,76,ENGERT AVENUE,Brooklyn,11222,GC,ABLE RESTORATION INC,2444 E TREMONT AVE,NORTHPOINT TOWERS CONDO CORP II,,,Permit Issued
B01414600-I1-GC,B01414600-I1,Initial Permit,2026-09-10,2026-06-25,2027-03-24,General Construction,This application is filed for a Temporary Use Permit for a sales office including model apartments pursuant to section AC 28-111 and Buildings Bulletin 2010-002.,6000,515,DEAN STREET,Brooklyn,11217,GC,BROOKLYN AZ INC,"289 MESEROLE ST, STE 201",1310 Myrtle LLC,,,Permit Issued
B01415104-I1-GC,B01415104-I1,Initial Permit,2026-09-10,2026-06-22,2026-12-31,General Construction,"REMOVAL OF CNG FLEET FUELING EQ & CONC. PADS. RESTORE ASPHALT AND GRAVEL AREAS PER PLANS. NO CHANGE TO USE, EGRESS OR OCCUPANCY. PER AC 28-105-4-3 NYC ADMINISTRATIVE CODE, PUBLIC UTILITY GAS WORK SHOWN IN THIS APP SHALL BE EXEMPT FROM NYC B",114236.67,287,MASPETH AVENUE,Brooklyn,11211,GC,BANCKER CONSTRUCTION CORP,171 FREEMAN AVENUE,NATIONAL GRID,,,Permit Issued
B01415245-I1-GC,B01415245-I1,Initial Permit,2026-09-10,2026-06-22,2026-12-31,General Construction,"REMOVAL OF CNG FLEET FUELING EQ & CONC. PADS. RESTORE ASPHALT AND GRAVEL AREAS PER PLANS. NO CHANGE TO USE, EGRESS OR OCCUPANCY. PER AC 28-105-4-3 NYC ADMINISTRATIVE CODE, PUBLIC UTILITY GAS WORK SHOWN IN THIS APP SHALL BE EXEMPT FROM NYC B",114236.67,8424,DITMAS AVENUE,Brooklyn,11236,GC,BANCKER CONSTRUCTION CORP,171 FREEMAN AVENUE,NATIONAL GRID,,,Permit Issued
B01423071-I1-GC,B01423071-I1,Initial Permit,2026-09-10,2026-09-01,2026-10-18,General Construction,"REMOVE DOB VIOLATIONS: VIO25-01846; REPLACE WOOD JOIST DUE TO FIRE DAMAGE.RENOVATION OF EXISTING CELLAR, 1ST AND 2ND FLOOR WITH GENERAL CONSTRUCTION: NEW PARTITIONS, DOORS, FLOORING AND COSMETIC WORK; NO CHANGE IN USE, EGRESSOR OCCUPANCY UN",150000,150,BAY 40 STREET,Brooklyn,11214,GC,KALE CONSTRUCTION INC,145-12 24 AVE,PR,,,Permit Issued
B01424801-I1-GC,B01424801-I1,Initial Permit,2026-09-10,2026-08-31,2026-11-15,General Construction,"HEREBY FILING GENERAL CONSTRUCTION AT ROOF LEVEL. REMOVAL & REPAIR OF DAMAGED MASONRY PARAPET WALL. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",8500,458,3 STREET,Brooklyn,11215,GC,MUX CONSTRUCTION INC,"2684 WEST STREET, APT 6H",Not Applicable,,,Permit Issued
B01426700-I1-GC,B01426700-I1,Initial Permit,2026-09-10,2026-07-08,2027-05-29,General Construction,"Scope of work alteration Tyoe 2 herewith filing for the replacement of sheetrock on same location and pathing and painting interior walls. No Change in Egress, Use or Occuoancy",56000,537,EAST 3 STREET,Brooklyn,11218,GC,AFFINITY ASSOCIATES 1 INC,670 MYRTLE AVENUE SUITE 109,Not Applicable,,,Permit Issued
B01427196-I1-GC,B01427196-I1,Initial Permit,2026-09-10,2026-08-12,2027-03-02,General Construction,"Proposed alteration to repair the front facade, to answer ECB Violation #39193084N and DOB Violation #VB061826C26-01614. No change in use, occupancy or egress under this application.",20000,320,DITMAS AVENUE,Brooklyn,11218,GC,SARDAR RESTORATION CORP,2770 FISH AVE,Not Applicable,,,Permit Issued
B01427579-I1-SG,B01427579-I1,Initial Permit,2026-09-10,2026-09-04,2026-10-31,Sign,"ILLUMINATED NON-ADVERTISING ACCESSORY WALL SIGN - MODERNMD. NO CHANGE OF USE, EGRESS OR OCCUPANCY.",1800,1169,LIBERTY AVENUE,Brooklyn,11208,S,"L.S. SIGN CO., INC",1640 CENTRE STREET,FABCO SHOES,,,Permit Issued
B01429614-I1-GC,B01429614-I1,Initial Permit,2026-09-10,2026-08-06,2027-01-13,General Construction,HEREWITH FILING AN APPLICATION FOR THE REMOVALAND DIRECT REPLACEMENT OF INTERIOR WOOD STAIRSTO PREFABRICATED METAL STAIRS BETWEEN CEL ANDFLOOR 001. STAIR REPLACEMENT SHALL BE IN THE SAMELOCATION. FILING APPLICATION TO ADDRESSVIOLATION 34716,10000,55,WELDON STREET,Brooklyn,11208,GC,MKSSKR CONSULTING SERVICE,"41-26 73 STR, APTC43",N/A,,,Permit Issued
B01429958-I1-GC,B01429958-I1,Initial Permit,2026-09-10,2026-09-09,2026-12-23,General Construction,"Renovation of 2-family residence including replacement of non-bearing partitions; replacement of plumbing fixtures and appliances at Kitchens and Bathrooms; Replacement of windows at rear of 2nd floor. No change to the Use, Occupancy, or Eg",150000,370,SENATOR STREET,Brooklyn,11220,GC,RAIN GUARD CONSTRUCTION C,319 82ND STREET,RAIN GUARD CONSTRUCTION CORP,,,Permit Issued
B01429958-S1-PL,B01429958-S1,Initial Permit,2026-09-10,2026-09-09,2026-10-16,Plumbing,Proposed renovation of bathrooms and kitchens at existing 2-family house.,15000,370,SENATOR STREET,Brooklyn,11220,P,A.G.M. PLUMBING & HEATING,"4295 AUTHUR KILL ROAD, ST#208",RAIN GUARD CONSTRUCTION CORP,,,Permit Issued
B01430271-I1-MS,B01430271-I1,Initial Permit,2026-09-10,2026-09-01,2026-12-31,Mechanical Systems,"REPLACE (2) HVAC ROOFTOP CONDENSERS AND (2) AIR HANDLER UNITS AS PER PLANS. NO CHANGE TO USE, OCCUPANCY OR EGRESS.",30000,216,PACIFIC STREET,Brooklyn,11201,GC,VIGILANTE CONTRACTING CO,195 DOUGLASS STREET,SHERMAN REAL ESTATE INVESTMENTS,,,Permit Issued
B01430627-I1-GC,B01430627-I1,Initial Permit,2026-09-10,2026-08-14,2026-10-12,General Construction,"INTERIOR RENOVATION OF CONDOMINIUM UNIT. WORK TO INCLUDE NEW PARTITIONS, MILLWORK AND RELATED WORK. NO CHANGE IN USE,EGRESS OR OCCUPANCY.",199800,135,BERKELEY PLACE,Brooklyn,11217,GC,GIANCOLA CONTRACTORS INC,270 21ST STREET,PR,,,Permit Issued
