entity_id,name,formed,entity_type,status,jurisdiction,street,street_2,city,state,zip,agent_organization,agent_city
20268142644,Southmoor Digital LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St Ste R,,Denver,CO,80203,Registered Agents Inc,Denver
20268142648,"Benashoppe, LLC",2026-09-13,DLLC,Good Standing,CO,4830 Stillwell Drive,,Colorado Springs,CO,80920,,Colorado Springs
20268142664,Sage Spring Ranch LLC,2026-09-13,DLLC,Good Standing,CO,49 Idlewild Pl,Unit B,Edwards,CO,81632,,Edwards
20268142666,KHM Trucking LLC,2026-09-13,DLLC,Good Standing,CO,20618 State Highway 69,,Gardner,CO,81040,"UNITED STATES CORPORATION AGENTS, INC.",Greenwood Village
20268142672,Core Horizon Property Holdings LLC,2026-09-13,DLLC,Good Standing,CO,146 County Road 35,,Craig,CO,81625,,Craig
20268142678,Worldthread Games LLC,2026-09-13,DLLC,Good Standing,CO,9735 W Cornell Pl,,Lakewood,CO,80227,,Lakewood
20268142683,AA Squad LLC,2026-09-13,DLLC,Good Standing,CO,713 Muturu Rd,,Johnstown,CO,80534,,Johnstown
20268142695,Servcorp LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste N,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268142715,Crumb Culture LLC,2026-09-13,DLLC,Good Standing,CO,7102 Peachleaf Dr,,Colorado Springs,CO,80925,,Colorado Springs
20268142727,CaringPath Medical Group LLC,2026-09-13,DLLC,Good Standing,CO,26871 E Ellsworth Ave,,Aurora,CO,80018,,Aurora
20268142730,Unbounded Limits LLC,2026-09-13,DLLC,Good Standing,CO,4455 Anjelina Cir N,,Colorado Springs,CO,80916,,Colorado Springs
20268142737,Deep Tissue Solutions LLC,2026-09-13,DLLC,Good Standing,CO,5192 Weaver Dr,,Colorado Springs,CO,80922,,Colorado Springs
20268142741,"Amarii & Rowan Consulting, LLC.",2026-09-13,DLLC,Good Standing,CO,6930 E Colorado Ave,,Denver,CO,80224,,Denver
20268142743,Will2Nola LLC,2026-09-13,DLLC,Good Standing,CO,6447 Bastogne Dr Apt D,,Fort Carson,CO,80902,,Fort Carson
20268142751,Kaboom Demolition LLC,2026-09-13,DLLC,Good Standing,CO,6344 W Burgundy Dr,,Littleton,CO,80123,,Littleton
20268142757,Aurea LLC,2026-09-13,DLLC,Good Standing,CO,3750 Blake St Apt 910,,Denver,CO,80205,,Denver
20268142761,Maison Alcote LLC,2026-09-13,DLLC,Good Standing,CO,3920 N Salida St Unit 131,,Aurora,CO,80011,,Aurora
20268142762,HerPrimeRX LLC,2026-09-13,DLLC,Good Standing,CO,4799 West 36th Ave,,Denver,CO,80212,,Denver
20268142764,AMBR SET LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste N,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268142769,In the Hillz Beauty Ltd,2026-09-13,DLLC,Good Standing,CO,21019 Fairview Rd,,Austin,CO,81410,,Austin
20268142788,Detail Home Inspections L.L.C.,2026-09-13,DLLC,Good Standing,CO,2600 W 103rd Ave,,Denver,CO,80260,,Denver
20268142792,Elemental Painting and Construction LLC,2026-09-13,DLLC,Good Standing,CO,12230 Washington Center Pkwy Apt 232,,Thornton,CO,80241,,Thornton
20268142793,"MDH8 Innovations, LLC",2026-09-13,DLLC,Good Standing,CO,32655 Legacy Ridge St,,Elizabeth,CO,80107,,Elizabeth
20268142794,"Risewell Ventures, LLC.",2026-09-13,DLLC,Good Standing,CO,5700 E Melody Way,,Castle Rock,CO,80104,,Castle Rock
20268142799,A+ Garage Pros Llc,2026-09-13,DLLC,Good Standing,CO,11301 Clermont Dr,,Thornton,CO,80233,,Thornton
20268142806,DIGITAL PILOT LLC,2026-09-13,DLLC,Good Standing,CO,550 E 13th Ave,,Denver,CO,80203,,Denver
20268142811,Parker Precision Gutter Cleaning LLC,2026-09-13,DLLC,Good Standing,CO,17113 E Neu Towne Pkwy,,Parker,CO,80134,,Parker
20268142816,Sugar Buckle LLC,2026-09-13,DLLC,Good Standing,CO,5 Cory Ln,,Florence,CO,81226,Northwest Registered Agent LLC,Denver
20268142819,"Beyond Normative, LLC",2026-09-13,DLLC,Good Standing,CO,110 16th St Ste 1460,,Denver,CO,80202,Rocky Mountain Registered Agent LLC,Denver
20268142824,Snail Mail Doodle Club LLC,2026-09-13,DLLC,Good Standing,CO,709 Elm St,,Windsor,CO,80550,,Windsor
20268142846,Pedal to the Medal LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste N,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268142849,Destiny Grace Coaching LLC,2026-09-13,DLLC,Good Standing,CO,2208 S Clermont St,,Denver,CO,80222,,Denver
20268142867,Classy Cleaners LLC,2026-09-13,DLLC,Good Standing,CO,6575 Dublin Cir,,Colorado Springs,CO,80918,,Colorado Springs
20268142874,GOLDEN MASA CO. LLC,2026-09-13,DLLC,Good Standing,CO,11157 Clayton St,,Northglenn,CO,80233,,Northglenn
20268142876,Peak Film House,2026-09-13,DNC,Good Standing,CO,240 Shadow Ridge Grv Apt 123,,Colorado Springs,CO,80918,,Colorado Springs
20268142878,"Waldman Works, LLC",2026-09-13,DLLC,Good Standing,CO,1564 S Locust St,,Denver,CO,80224,,Denver
20268142889,F3,2026-09-13,DNC,Good Standing,CO,3055 NW Yeon Ave #264,,Portland,OR,97210,Northwest Registered Agent LLC,Denver
20268142893,Rebhouse Trading Co. LLC,2026-09-13,DLLC,Good Standing,CO,9743 Arbor Walk Ln,,Peyton,CO,80831,,Peyton
20268142894,Backurz Anesthesia PLLC,2026-09-13,DLLC,Good Standing,CO,489 Blue Sage Cir,,Steamboat Springs,CO,80487,"UNITED STATES CORPORATION AGENTS, INC.",Greenwood Village
20268142902,KMF Enterprises LLC,2026-09-13,DLLC,Good Standing,CO,4777 Isabell St,,Golden,CO,80403,,Golden
20268142916,Cimarron Geoscience LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste N,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268142917,YogaTherapy4U LLC,2026-09-13,DLLC,Good Standing,CO,1309 E 3rd Ave Unit 20A,,Durango,CO,81301,,Durango
20268142931,Landmark Property Buyers LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste N,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268142944,Nails by Jay L.L.C.,2026-09-13,DLLC,Good Standing,CO,1350 Carr St,,Lakewood,CO,80214,,Commerce City
20268142946,RENATUS LLC,2026-09-13,DLLC,Good Standing,CO,362 Arches Dr,,Fruita,CO,81521,,Fruita
20268142955,Vanta Tint and Detail LLC,2026-09-13,DLLC,Good Standing,CO,4965 Universal Hts,,Colorado Springs,CO,80916,,Colorado Springs
20268142964,Steps Into Hope LLC,2026-09-13,DLLC,Good Standing,CO,3416 W 6th St,,Greeley,CO,80634,,Greeley
20268142980,North East Colorado Flight Training LLC,2026-09-13,DLLC,Good Standing,CO,44800 County Road 35,,Pierce,CO,80650,,Pierce
20268142982,Ridgeline Goods LLC,2026-09-13,DLLC,Good Standing,CO,10382 Dunsford Dr,,Lone Tree,CO,80124,,Lone Tree
20268142985,"Pot Roast Co, LLC",2026-09-13,DLLC,Good Standing,CO,110 16th St Ste 1460,,Denver,CO,80202,Rocky Mountain RA LLC,Denver
20268142986,Vendaholics LLC,2026-09-13,DLLC,Good Standing,CO,15250 County Road 49,,La Salle,CO,80645,,La Salle
20268142987,Kay Assisted Living LLC,2026-09-13,DLLC,Good Standing,CO,2753 S Uinta St,,Denver,CO,80231,,Denver
20268142997,Royal Shield Security LLC,2026-09-13,DLLC,Good Standing,CO,4775 Garden Ranch Dr Apt 101,,Colorado Springs,CO,80918,,Colorado Springs
20268143012,People Imagined LLC,2026-09-13,DLLC,Good Standing,CO,4046 Fultondale St,,Aurora,CO,80019,,Aurora
20268143013,"J L Holdings, LLC",2026-09-13,DLLC,Good Standing,CO,3301 Arapahoe Ave Unit 331,,Boulder,CO,80303,,Boulder
20268143020,Arduini Adventures LLC,2026-09-13,DLLC,Good Standing,CO,2132 Boise Ct,,Longmont,CO,80504,,Longmont
20268143026,Four Blooms Floral Co. LLC,2026-09-13,DLLC,Good Standing,CO,6925 Tenderfoot Ave,,Firestone,CO,80504,,Firestone
20268143030,Red Mare Remedies LLC,2026-09-13,DLLC,Good Standing,CO,27205 RCR 17,,Yampa,CO,80483,,Yampa
20268143035,MSquared Health Ventures LLC,2026-09-13,DLLC,Good Standing,CO,6803 S Netherland Way,,Aurora,CO,80016,,Aurora
20268143036,"SP Primary Residence, LLC",2026-09-13,DLLC,Good Standing,CO,3425 W 33rd Ave,,Denver,CO,80211,,Denver
20268143047,"Runtiva, Inc.",2026-09-13,FPC,Good Standing,DE,3544 Ranch Road 620 S,#4205,Austin,TX,78738,Northwest Registered Agent LLC,Denver
20268143048,Latitude 38 Freight LLC,2026-09-13,DLLC,Good Standing,CO,2107 S CEYLON CT,,Aurora,CO,80013,,aurora
20268143055,Bubble World LLC,2026-09-13,DLLC,Good Standing,CO,11751 Reagan Ridge Drive,,Colorado Springs,CO,CO,,Colorado Springs
20268143057,D. Daniels Property Management LLC,2026-09-13,DLLC,Good Standing,CO,629 46th Avenue Ct,,Greeley,CO,80634,,Greeley
20268143074,RIVEROS BUILDERS CONSTRUCTION LLC,2026-09-13,DLLC,Good Standing,CO,24560 E Applewood Cir Unit 1727,,Aurora,CO,80016,,Aurora
20268143080,Mirus Marketing LLC,2026-09-13,DLLC,Good Standing,CO,215 83rd Ave,,Greeley,CO,80634,,Greeley
20268143091,"Co-Creation Counseling, PLLC",2026-09-13,DLLC,Good Standing,CO,1500 N Grant St. #4129,,Denver,CO,80203,Registered Agents Inc,Denver
20268143106,JD HAULING & JUNK REMOVAL LLC,2026-09-13,DLLC,Good Standing,CO,358 S Vaughn Way,,Aurora,CO,80012,,Aurora
20268143112,Sangre De Cristo Taxidermy LLC,2026-09-13,DLLC,Good Standing,CO,101 S 2nd St,,Westcliffe,CO,81252,,Westcliffe
20268143114,"Wayback ID, LLC",2026-09-13,DLLC,Good Standing,CO,287 Star View Dr,,Livermore,CO,80536,,Livermore
20268143115,Teleplumber Llc,2026-09-13,DLLC,Good Standing,CO,6137 Dudley Ct,,Arvada,CO,80004,,Arvada
20268143121,Lee Language and Luxury Travel LLC,2026-09-13,DLLC,Good Standing,CO,8707 S Fairall Rd,,Morrison,CO,80465,,Morrison
20268143125,Sparkle Strand Society LLC,2026-09-13,DLLC,Good Standing,CO,27627 E Geddes Pl,,Aurora,CO,80016,,Aurora
20268143130,"Keiko Flow, LLC",2026-09-13,DLLC,Good Standing,CO,669 Reed St,,Lakewood,CO,80214,,Lakewood
20268143133,Copper Kite LLC,2026-09-13,DLLC,Good Standing,CO,11480 W 27th Pl,,Lakewood,CO,80215,,Lakewood
20268143135,Marco Honey LLC,2026-09-13,DLLC,Good Standing,CO,9667 Salem Court,,Littleton,CO,80130,,Littleton
20268143148,"Lotus and Light Photobooth, LLC",2026-09-13,DLLC,Good Standing,CO,4010 W 103rd Ct,,Westminster,CO,80031,,Westminster
20268143149,"TRE 1900 Wazee, LLC",2026-09-13,DLLC,Good Standing,CO,1416 Larimer St Ste 203,,Denver,CO,80202,,Denver
20268143151,Papayas LLC,2026-09-13,DLLC,Good Standing,CO,7745 Antelope Meadows Cir,,Peyton,CO,80831,,Peyton
20268143162,"Taylored Wellness, LLC",2026-09-13,DLLC,Good Standing,CO,2770 Arapahoe Rd Ste 132,,Lafayette,CO,80026,ZenBusiness Inc.,Denver
20268143169,ORCON SYSTEMS LLC,2026-09-13,DLLC,Good Standing,CO,17411 E 15th Pl,,Aurora,CO,80011,,Aurora
20268143177,The Daily Vail LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste R,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268143189,Unsupervised Capy Labs LLC,2026-09-13,DLLC,Good Standing,CO,1380 N Uvalda st,Unit 165,Aurora,CO,80011,,Aurora
20268143198,Amplify Your Narrative PLLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St Ste N,,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268143199,Hiba's Helping Hands,2026-09-13,DNC,Good Standing,CO,8350 E Yale Ave Apt F204,,Denver,CO,80231,,Denver
20268143201,"Visionary Vistas, LLC",2026-09-13,DLLC,Good Standing,CO,10465 W 14th Ave,,Lakewood,CO,80215,,Lakewood
20268143204,DC'd Expedition,2026-09-13,DNC,Good Standing,CO,427 Woodlawn Ave,,Canon City,CO,81212,,Canon City
20268143206,Noco Yard Clean Up LLC,2026-09-13,DLLC,Good Standing,CO,2703 73rd Avenue,,Greeley,CO,80634,,Greeley
20268143215,Steady Guest LLC,2026-09-13,DLLC,Good Standing,CO,1500 N GRANT ST,STE R,Denver,CO,80203,Registered Agents Inc,Denver
20268143217,Tories Properties LLC,2026-09-13,DLLC,Good Standing,CO,1325 6th St,,Greeley,CO,80631,,Greeley
20268143221,TruKnight Technologies and Solutions LLC,2026-09-13,DLLC,Good Standing,CO,5665 Coachwood Trl,,Colorado Springs,CO,80919,,Colorado Springs
20268143228,VF1000RS LLC,2026-09-13,DLLC,Good Standing,CO,7102 Peachleaf Dr,,Colorado Springs,CO,80925,,Colorado Springs
20268143231,The Noyes Farm LLC,2026-09-13,DLLC,Good Standing,CO,17678 Road 24,,Dolores,CO,81323,,Cortez
20268143240,Bad Eagle Logistics LLC,2026-09-13,DLLC,Good Standing,CO,10306 20th St Apt R102,,Greeley,CO,80634,,Greeley
20268143247,NotifAI LLC,2026-09-13,DLLC,Good Standing,CO,4497 Gold Medal Pt Apt 220,,Colorado Springs,CO,80923,,Colorado Springs
20268143250,"Adonai Web Solutions, LLC",2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste N,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268143256,"Improve Your State, Inc.",2026-09-13,DNC,Good Standing,CO,1500 N Grant St Ste R,,Denver,CO,80203,Colorado Registered Agent LLC,Denver
20268143259,Sacred Stands Co LLC,2026-09-13,DLLC,Good Standing,CO,824 Green Wood Dr,,Berthoud,CO,80513,,Berthoud
20268143264,Tiffany and Colorado Collective,2026-09-13,DNC,Good Standing,CO,2141 S Genoa St,,Aurora,CO,80013,,Aurora
20268143266,SBT Equipment,2026-09-13,FO,Good Standing,OK,6027 S Shell Rd,,Covington,OK,73730,,Calhan
20268143285,Redstone Property Group LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste N,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268143286,Hedrick Brothers Development L.L.C.,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste N,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268143295,Ray's Rates LLC,2026-09-13,DLLC,Good Standing,CO,12421 York Street,,Thornton,CO,80241,,Berthoud
20268143322,CopperMesa LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste N,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268143327,Enaloris LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St Ste R,,Denver,CO,80203,Registered Agents Inc,Denver
20268143329,D&R Home Care LLC,2026-09-13,DLLC,Good Standing,CO,5327 Quail St,,Arvada,CO,80002,,Arvada
20268143330,Danaview Services Ltd.,2026-09-13,DLLC,Good Standing,CO,3354 Carabiner St,,Castle Rock,CO,80108,,Castle Rock
20268143331,Black Bear Karate Club LLC,2026-09-13,DLLC,Good Standing,CO,300 Albion Way,,Fort Collins,CO,80526,,Fort Collins
20268143337,"Hager Ministries, Inc.",2026-09-13,DNC,Good Standing,CO,925 S Broadway,Suite 235,Cortez,CO,81321,,Cortez
20268143338,"3 of Cups Counseling, LLC",2026-09-13,DLLC,Good Standing,CO,4275 Shivaree Ct,,Timnath,CO,80547,,Centennial
20268143339,"Welks, LLC",2026-09-13,DLLC,Good Standing,CO,15601 E Jamison Drive,apt 631,Englewood,CO,80112,,Englewood
20268143341,Front Range Drafting LLC,2026-09-13,DLLC,Good Standing,CO,403 14th St,,Windsor,CO,80550,,Windsor
20268143354,My Procedure Pilot LLC,2026-09-13,DLLC,Good Standing,CO,5013 S Prince Pl,,Littleton,CO,80123,,Littleton
20268143355,NonnieHawk LLC,2026-09-13,DLLC,Good Standing,CO,820 S Monaco Pkwy #473,,Denver,CO,80224,,Denver
20268143356,Doe & Darling LLC,2026-09-13,DLLC,Good Standing,CO,1051 14th St,,Denver,CO,80202,,Denver
20268143358,Simpl. LLC,2026-09-13,DLLC,Good Standing,CO,1202 Cumberland St,,Colorado Springs,CO,80907,,Colorado Springs
20268143364,2911 Provisions LLC,2026-09-13,DLLC,Good Standing,CO,3342 N Buchanan Way,,Aurora,CO,80019,,Aurora
20268143365,The Spine Studio Health & Wellness LLC,2026-09-13,DLLC,Good Standing,CO,7887 East Belleview Ave. Suite 1100A PMB 1401,,Denver,CO,80111,ENTITY PROTECT REGISTERED AGENT SERVICES LLC,Denver
20268143366,Peak LQ LLC,2026-09-13,DLLC,Good Standing,CO,1580 Meadowbrook Pkwy,,Colorado Springs,CO,80915,,Colorado Springs
20268143368,Friends Farm Collective,2026-09-13,DNC,Good Standing,CO,2117 Stonehenge Cir,,Lafayette,CO,80026,,Lafayette
20268143369,"Uncompromising Growth, LLC",2026-09-13,DLLC,Good Standing,CO,6782 Violet Way,,Arvada,CO,80007,,Arvada
20268143381,Fleur de Reve LLC,2026-09-13,DLLC,Good Standing,CO,2024 S Xavier St,,Denver,CO,80219,,Denver
20268143384,Arvada Equine Foundation,2026-09-13,DNC,Good Standing,CO,8333 Ralston Rd Ste 2,,Arvada,CO,80002,,Arvada
20268143390,Boogie Paws LLC,2026-09-13,DLLC,Good Standing,CO,12886 Ironstone Way Apt 301,,Parker,CO,80134,,Parker
20268143396,T Walton Kustoms LLC,2026-09-13,DLLC,Good Standing,CO,46 S Hayman Ave,,Colorado Springs,CO,80910,,Colorado Springs
20268143401,Janseurx Inc,2026-09-13,DPC,Good Standing,CO,630 E Hyman Ave Ste 101,,Aspen,CO,81611,Registered Agents Inc,Denver
20268143402,Purple Turtle LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St Ste R,,Denver,CO,80203,Registered Agents Inc,Denver
20268143404,Artisan Design LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste R,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268143406,Anh Duong LLC,2026-09-13,DLLC,Good Standing,CO,3400 S Federal Blvd Unit B,,Englewood,CO,80110,,Englewood
20268143407,Full Heart Family LLC,2026-09-13,DLLC,Good Standing,CO,701 Dee Rd,,Johnstown,CO,80534,,Johnstown
20268143408,Chelsey Morgan Ventures LLC,2026-09-13,DLLC,Good Standing,CO,1580 N Logan St Ste 660 #728385,,Denver,CO,80203,,Ridgway
20268143410,Franki Inc.,2026-09-13,FPC,Good Standing,DE,100 Wilshire Boulevard,,Santa Monica,CA,90401,Telos Legal Corp.,Brighton
20268143415,Savii Scissorhands LLC.,2026-09-13,DLLC,Good Standing,CO,2235 Allyn Way,,Colorado Springs,CO,80915,,Colorado Springs
20268143420,MDL LLC,2026-09-13,DLLC,Good Standing,CO,2181 Grain Bin Ct,,Windsor,CO,80550,,Windsor
20268143422,Watkins Handyman L.L.C.,2026-09-13,DLLC,Good Standing,CO,6884 County Road 328,,Westcliffe,CO,81252,,Westcliffe
20268143429,"MY MOC, INC.",2026-09-13,FPC,Good Standing,DE,26 East Hill Way,,Wakefield,RI,02879,Telos Legal Corp.,Brighton
20268143432,Flash Me! LLC,2026-09-13,DLLC,Good Standing,CO,3054 Ouray Ave,,Grand Junction,CO,81504,,Grand Junction
20268143441,Guardvane Systems LLC,2026-09-13,DLLC,Good Standing,CO,181 Fawn Rd,,Bailey,CO,80421,,Bailey
20268143442,Glow and Behold LLC,2026-09-13,DLLC,Good Standing,CO,104 Hinkley Drive,,Rico,CO,81332,,Rico
20268143444,Gnostic Web Management LLC,2026-09-13,DLLC,Good Standing,CO,4186 S Mobile Cir Apt D,,Aurora,CO,80013,,Aurora
20268143445,So Fetch Training LLC,2026-09-13,DLLC,Good Standing,CO,217 N 7th St,,Colorado Springs,CO,80905,,Colorado Springs
20268143446,Contrails Science & Technology Inc.,2026-09-13,FNC,Good Standing,VT,145 Pine Haven Shores Rd,,Shelburne,VT,05482,Telos Legal Corp.,Brighton
20268143459,Lakewood Chamber of Commerce,2026-09-13,DNC,Good Standing,CO,7402 S Zephyr Ct,,Littleton,CO,80128,,Littleton
20268143463,"ZezerA, LLC",2026-09-13,DLLC,Good Standing,CO,2465 S Elkhart Ct,,Aurora,CO,80014,,Aurora
20268143465,Taste of Indonesia LLC,2026-09-13,DLLC,Good Standing,CO,19901 E Radcliff Pl,,Centennial,CO,80015,,Denver
20268143467,Survivor Sports Unlimited LLC,2026-09-13,DLLC,Good Standing,CO,1111 Pine St,,Pueblo,CO,81004,"UNITED STATES CORPORATION AGENTS, INC.",Greenwood Village
20268143480,137 Porcupine LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste N,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268143481,Simpson Summit LLC,2026-09-13,DLLC,Good Standing,CO,410 N 6th St,,Silt,CO,81652,,Silt
20268143483,"Vanhill Home Inspections, LLC",2026-09-13,DLLC,Good Standing,CO,2461 Saulsbury St,,Lakewood,CO,80214,,Lakewood
20268143490,"BASE Collaborative, Ltd.",2026-09-13,DLLC,Good Standing,CO,8173 Estes Cir,,Arvada,CO,80005,,Arvada
20268143493,"Vanhill Property Management, LLC",2026-09-13,DLLC,Good Standing,CO,2461 Saulsbury St,,Lakewood,CO,80214,,Lakewood
20268143496,GPone Technologies Inc,2026-09-13,DPC,Good Standing,CO,1670 Broadway,,Denver,CO,80202,Global Accounting service inc.,Aurora
20268143498,Natessa Callahan Homeopathy LLC,2026-09-13,DLLC,Good Standing,CO,872 Kaitlyn Cir,,Loveland,CO,80537,,Loveland
20268143500,Route Workz LLC,2026-09-13,DLLC,Good Standing,CO,"18121 E Hampden Ave, Unit C # 1 1 3 3",,Aurora,CO,80013,"UNITED STATES CORPORATION AGENTS, INC.",Greenwood Village
20268143501,"Vanhill Realty, LLC",2026-09-13,DLLC,Good Standing,CO,2461 Saulsbury St,,Lakewood,CO,80214,,Lakewood
20268143502,On Top Builders LLC,2026-09-13,DLLC,Good Standing,CO,145 S Quail Ct,,Rockvale,CO,81244,,Rockvale
20268143504,"Vanhill Construction, LLC",2026-09-13,DLLC,Good Standing,CO,2461 Saulsbury St,,Lakewood,CO,80214,,Lakewood
20268143505,Hero Point Ltd.,2026-09-13,DLLC,Good Standing,CO,6865 Highland Vista Dr,,Colorado Springs,CO,80922,,Colorado Springs
20268143507,"Vanhill Properties, LLC",2026-09-13,DLLC,Good Standing,CO,2461 Saulsbury St,,Lakewood,CO,80214,,Lakewood
20268143509,MAPLESRENEE LLC,2026-09-13,DLLC,Good Standing,CO,1521 Blake St Ste 47009,,Denver,CO,80202,Rocky Mountain RA LLC,Denver
20268143510,Gaugefield Capital LLC,2026-09-13,DLLC,Good Standing,CO,1995 E Coalton Rd Apt 25-102,,Superior,CO,80027,,Superior
20268143512,Steady Hands Co. LLC,2026-09-13,DLLC,Good Standing,CO,2009 McArthur Ave,,Colorado Springs,CO,80909,,Colorado Springs
20268143517,M&K enterprises LLC,2026-09-13,DLLC,Good Standing,CO,1021 25th Ave,,Greeley,CO,80634,,Greeley
20268143518,Sea Lily Co. LLC,2026-09-13,DLLC,Good Standing,CO,12316 Evergreen Trl,,Parker,CO,80138,,Parker
20268143519,Knotty Wood ltd,2026-09-13,DLLC,Good Standing,CO,29095 County Road 331,,Buena Vista,CO,81211,,Buena Vista
20268143521,Burg Solutions Group LLC,2026-09-13,DLLC,Good Standing,CO,303 S Broadway Ste 200,212,Denver,CO,80209,,Denver
20268143529,BEA'S LYMPH + GLOW LUXE LLC,2026-09-13,DLLC,Good Standing,CO,4774 S Wenatchee Circle,,AURORA,CO,80015,,AURORA
20268143533,Vneshomes LLC,2026-09-13,DLLC,Good Standing,CO,"1500 N GRANT ST, STE B",,DENVER,CO,80203,"INCORP SERVICES, INC.",DENVER
20268143547,JGZ Horizon Commerce LLC,2026-09-13,DLLC,Good Standing,CO,4323 MILLERS CREEK LN,,MANVE,TX,77578,Lexington ConsultingI LLC,Aurora
20268143548,Factory Method LLC,2026-09-13,DLLC,Good Standing,CO,3430 Cherrystone Ct,,Fort Collins,CO,80525,,Fort Collins
20268143561,TRV & Co. LLC,2026-09-13,DLLC,Good Standing,CO,191 S Benton St,,Lakewood,CO,80226,,Lakewood
20268143569,Dong peng INC,2026-09-13,DPC,Good Standing,CO,1500 N GRANT ST STE R,,DENVER,CO,80203,Registered Agents Inc,Denver
20268143575,Haven & Bloom LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste R,Denver,CO,80203,Northwest Registered Agent LLC,Denver
